Container, 0, 0, 0, 11.8194, 11.8194, 0
Container, 0, ROOT, 0, 11.8194, 11.8194, root
Container, root, PROCESS, 0.0988932, 11.8164, 11.7175, rank95
State, rank95, STATE, 0.098894, 0.098894, 0.000000, 0.000000, MPI_Comm_rank
State, rank95, STATE, 0.098895, 0.098901, 0.000006, 0.000000, MPI_Comm_size
State, rank95, STATE, 0.098957, 0.099400, 0.000443, 0.000000, MPI_Irecv
State, rank95, STATE, 0.099409, 0.323148, 0.223739, 0.000000, MPI_Wait
State, rank95, STATE, 0.323275, 9.989992, 9.666718, 0.000000, MPI_Wait
State, rank95, STATE, 10.385259, 10.385411, 0.000152, 0.000000, MPI_Isend
State, rank95, STATE, 10.385422, 10.432626, 0.047204, 0.000000, MPI_Wait
State, rank95, STATE, 10.432849, 11.816404, 1.383555, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0432775, 11.8149, 11.7716, rank94
State, rank94, STATE, 0.043278, 0.043279, 0.000000, 0.000000, MPI_Comm_rank
State, rank94, STATE, 0.043279, 0.043286, 0.000007, 0.000000, MPI_Comm_size
State, rank94, STATE, 0.043341, 0.043795, 0.000454, 0.000000, MPI_Irecv
State, rank94, STATE, 0.043803, 0.301349, 0.257546, 0.000000, MPI_Wait
State, rank94, STATE, 0.301502, 9.972573, 9.671071, 0.000000, MPI_Wait
State, rank94, STATE, 10.363129, 10.363301, 0.000172, 0.000000, MPI_Isend
State, rank94, STATE, 10.363315, 10.404629, 0.041315, 0.000000, MPI_Wait
State, rank94, STATE, 10.404835, 11.814876, 1.410041, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0469909, 11.8163, 11.7693, rank93
State, rank93, STATE, 0.046992, 0.046993, 0.000000, 0.000000, MPI_Comm_rank
State, rank93, STATE, 0.046993, 0.046994, 0.000001, 0.000000, MPI_Comm_size
State, rank93, STATE, 0.047063, 0.047781, 0.000719, 0.000000, MPI_Irecv
State, rank93, STATE, 0.047796, 0.274689, 0.226893, 0.000000, MPI_Wait
State, rank93, STATE, 0.274870, 9.990340, 9.715471, 0.000000, MPI_Wait
State, rank93, STATE, 10.723258, 10.723434, 0.000176, 0.000000, MPI_Isend
State, rank93, STATE, 10.723444, 10.768581, 0.045136, 0.000000, MPI_Wait
State, rank93, STATE, 10.768754, 11.816298, 1.047544, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0544598, 11.815, 11.7605, rank92
State, rank92, STATE, 0.054461, 0.054461, 0.000000, 0.000000, MPI_Comm_rank
State, rank92, STATE, 0.054461, 0.054462, 0.000001, 0.000000, MPI_Comm_size
State, rank92, STATE, 0.054504, 0.054942, 0.000437, 0.000000, MPI_Irecv
State, rank92, STATE, 0.054951, 0.272794, 0.217843, 0.000000, MPI_Wait
State, rank92, STATE, 0.272952, 9.986370, 9.713418, 0.000000, MPI_Wait
State, rank92, STATE, 10.373856, 10.373992, 0.000136, 0.000000, MPI_Isend
State, rank92, STATE, 10.374002, 10.416632, 0.042629, 0.000000, MPI_Wait
State, rank92, STATE, 10.416850, 11.814975, 1.398125, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0318847, 11.8163, 11.7844, rank91
State, rank91, STATE, 0.031886, 0.031886, 0.000000, 0.000000, MPI_Comm_rank
State, rank91, STATE, 0.031886, 0.031887, 0.000001, 0.000000, MPI_Comm_size
State, rank91, STATE, 0.031937, 0.032392, 0.000455, 0.000000, MPI_Irecv
State, rank91, STATE, 0.032402, 0.271391, 0.238989, 0.000000, MPI_Wait
State, rank91, STATE, 0.271602, 9.986905, 9.715303, 0.000000, MPI_Wait
State, rank91, STATE, 10.658823, 10.658942, 0.000119, 0.000000, MPI_Isend
State, rank91, STATE, 10.658952, 10.700593, 0.041640, 0.000000, MPI_Wait
State, rank91, STATE, 10.700805, 11.816298, 1.115494, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.110289, 11.8154, 11.7051, rank90
State, rank90, STATE, 0.110291, 0.110292, 0.000001, 0.000000, MPI_Comm_rank
State, rank90, STATE, 0.110293, 0.110294, 0.000001, 0.000000, MPI_Comm_size
State, rank90, STATE, 0.110386, 0.111118, 0.000732, 0.000000, MPI_Irecv
State, rank90, STATE, 0.111134, 0.269872, 0.158738, 0.000000, MPI_Wait
State, rank90, STATE, 0.270067, 9.958379, 9.688311, 0.000000, MPI_Wait
State, rank90, STATE, 10.597230, 10.597432, 0.000201, 0.000000, MPI_Isend
State, rank90, STATE, 10.597450, 10.644592, 0.047142, 0.000000, MPI_Wait
State, rank90, STATE, 10.644814, 11.815408, 1.170594, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0309913, 11.8169, 11.7859, rank9
State, rank9, STATE, 0.030992, 0.030993, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.030993, 0.030993, 0.000000, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.031035, 0.031349, 0.000314, 0.000000, MPI_Irecv
State, rank9, STATE, 0.031358, 0.115369, 0.084012, 0.000000, MPI_Wait
State, rank9, STATE, 0.115399, 9.560994, 9.445595, 0.000000, MPI_Wait
State, rank9, STATE, 9.955641, 9.955880, 0.000239, 0.000000, MPI_Isend
State, rank9, STATE, 9.955893, 9.955899, 0.000007, 0.000000, MPI_Wait
State, rank9, STATE, 9.956185, 11.816915, 1.860731, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.118118, 11.817, 11.6989, rank89
State, rank89, STATE, 0.118120, 0.118120, 0.000000, 0.000000, MPI_Comm_rank
State, rank89, STATE, 0.118121, 0.118123, 0.000001, 0.000000, MPI_Comm_size
State, rank89, STATE, 0.118211, 0.118956, 0.000745, 0.000000, MPI_Irecv
State, rank89, STATE, 0.118972, 0.267885, 0.148913, 0.000000, MPI_Wait
State, rank89, STATE, 0.268070, 9.988336, 9.720266, 0.000000, MPI_Wait
State, rank89, STATE, 10.715122, 10.715285, 0.000163, 0.000000, MPI_Isend
State, rank89, STATE, 10.715294, 10.760602, 0.045309, 0.000000, MPI_Wait
State, rank89, STATE, 10.760776, 11.817040, 1.056264, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0953445, 11.8164, 11.7211, rank88
State, rank88, STATE, 0.095345, 0.095346, 0.000000, 0.000000, MPI_Comm_rank
State, rank88, STATE, 0.095346, 0.095347, 0.000001, 0.000000, MPI_Comm_size
State, rank88, STATE, 0.095395, 0.095845, 0.000449, 0.000000, MPI_Irecv
State, rank88, STATE, 0.095854, 0.266331, 0.170477, 0.000000, MPI_Wait
State, rank88, STATE, 0.266537, 9.931741, 9.665204, 0.000000, MPI_Wait
State, rank88, STATE, 10.684631, 10.684839, 0.000208, 0.000000, MPI_Isend
State, rank88, STATE, 10.684850, 10.728637, 0.043788, 0.000000, MPI_Wait
State, rank88, STATE, 10.728855, 11.816411, 1.087557, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0803246, 11.8175, 11.7372, rank87
State, rank87, STATE, 0.080326, 0.080327, 0.000001, 0.000000, MPI_Comm_rank
State, rank87, STATE, 0.080327, 0.080328, 0.000001, 0.000000, MPI_Comm_size
State, rank87, STATE, 0.080403, 0.081112, 0.000708, 0.000000, MPI_Irecv
State, rank87, STATE, 0.081127, 0.264837, 0.183710, 0.000000, MPI_Wait
State, rank87, STATE, 0.265045, 9.989849, 9.724804, 0.000000, MPI_Wait
State, rank87, STATE, 10.739856, 10.740059, 0.000204, 0.000000, MPI_Isend
State, rank87, STATE, 10.740075, 10.784600, 0.044525, 0.000000, MPI_Wait
State, rank87, STATE, 10.784800, 11.817492, 1.032691, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0581403, 11.8149, 11.7567, rank86
State, rank86, STATE, 0.058141, 0.058141, 0.000000, 0.000000, MPI_Comm_rank
State, rank86, STATE, 0.058142, 0.058142, 0.000000, 0.000000, MPI_Comm_size
State, rank86, STATE, 0.058190, 0.058619, 0.000429, 0.000000, MPI_Irecv
State, rank86, STATE, 0.058629, 0.263325, 0.204696, 0.000000, MPI_Wait
State, rank86, STATE, 0.263543, 9.967542, 9.703999, 0.000000, MPI_Wait
State, rank86, STATE, 10.613282, 10.613501, 0.000219, 0.000000, MPI_Isend
State, rank86, STATE, 10.613520, 10.660589, 0.047069, 0.000000, MPI_Wait
State, rank86, STATE, 10.660778, 11.814851, 1.154073, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00870657, 11.8156, 11.8068, rank85
State, rank85, STATE, 0.008708, 0.008708, 0.000000, 0.000000, MPI_Comm_rank
State, rank85, STATE, 0.008708, 0.008709, 0.000001, 0.000000, MPI_Comm_size
State, rank85, STATE, 0.008758, 0.009248, 0.000490, 0.000000, MPI_Irecv
State, rank85, STATE, 0.009257, 0.261408, 0.252151, 0.000000, MPI_Wait
State, rank85, STATE, 0.261643, 9.986017, 9.724374, 0.000000, MPI_Wait
State, rank85, STATE, 10.718824, 10.718946, 0.000122, 0.000000, MPI_Isend
