Container, 0, 0, 0, 1.23013, 1.23013, 0
Container, 0, ROOT, 0, 1.23013, 1.23013, root
Container, root, PROCESS, 0, 1.23011, 1.23011, rank3
State, rank3, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.000003, 0.000004, 0.000002, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.000060, 0.008446, 0.008386, 0.000000, MPI_Recv
State, rank3, STATE, 0.008447, 0.015184, 0.006737, 0.000000, MPI_Bcast
State, rank3, STATE, 0.223829, 0.224023, 0.000194, 0.000000, MPI_Send
State, rank3, STATE, 0.224133, 1.230108, 1.005975, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00144505, 1.23013, 1.22869, rank2
State, rank2, STATE, 0.001446, 0.001446, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.001446, 0.001448, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.001501, 0.007987, 0.006486, 0.000000, MPI_Recv
State, rank2, STATE, 0.007988, 0.014176, 0.006188, 0.000000, MPI_Bcast
State, rank2, STATE, 0.218863, 0.219051, 0.000188, 0.000000, MPI_Send
State, rank2, STATE, 0.219179, 1.230133, 1.010954, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00094986, 1.22975, 1.2288, rank1
State, rank1, STATE, 0.000952, 0.000952, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000952, 0.000954, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.001007, 0.007528, 0.006521, 0.000000, MPI_Recv
State, rank1, STATE, 0.007529, 0.011771, 0.004243, 0.000000, MPI_Bcast
State, rank1, STATE, 0.210090, 0.210276, 0.000186, 0.000000, MPI_Send
State, rank1, STATE, 0.210373, 1.229748, 1.019375, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000443459, 1.23013, 1.22969, rank0
State, rank0, STATE, 0.000445, 0.000445, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000446, 0.000446, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.006129, 0.006136, 0.000007, 0.000000, MPI_Wtime
State, rank0, STATE, 0.006156, 0.007080, 0.000924, 0.000000, MPI_Send
State, rank0, STATE, 0.007081, 0.007574, 0.000494, 0.000000, MPI_Send
State, rank0, STATE, 0.007575, 0.008071, 0.000496, 0.000000, MPI_Send
State, rank0, STATE, 0.008729, 0.009761, 0.001032, 0.000000, MPI_Bcast
State, rank0, STATE, 0.215484, 0.215745, 0.000262, 0.000000, MPI_Recv
State, rank0, STATE, 0.215746, 0.219158, 0.003413, 0.000000, MPI_Recv
State, rank0, STATE, 0.219158, 0.224128, 0.004969, 0.000000, MPI_Recv
State, rank0, STATE, 0.224128, 0.224128, 0.000000, 0.000000, MPI_Wtime
State, rank0, STATE, 0.224558, 1.230132, 1.005574, 0.000000, MPI_Finalize
