State, rank42, STATE, 1.094012, 1.096939, 0.002927, 0.000000, MPI_Gather
State, rank42, STATE, 1.097130, 2.817578, 1.720448, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00604582, 2.81664, 2.81059, rank41
State, rank41, STATE, 0.006047, 0.006047, 0.000000, 0.000000, MPI_Comm_rank
State, rank41, STATE, 0.006047, 0.006048, 0.000000, 0.000000, MPI_Comm_size
State, rank41, STATE, 0.006096, 0.087984, 0.081888, 0.000000, MPI_Scatter
State, rank41, STATE, 0.087985, 0.294594, 0.206609, 0.000000, MPI_Bcast
State, rank41, STATE, 1.191795, 1.192362, 0.000567, 0.000000, MPI_Gather
State, rank41, STATE, 1.192577, 2.816638, 1.624061, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0037508, 2.81865, 2.8149, rank40
State, rank40, STATE, 0.003752, 0.003752, 0.000000, 0.000000, MPI_Comm_rank
State, rank40, STATE, 0.003753, 0.003754, 0.000001, 0.000000, MPI_Comm_size
State, rank40, STATE, 0.003802, 0.084423, 0.080621, 0.000000, MPI_Scatter
State, rank40, STATE, 0.084424, 0.305421, 0.220997, 0.000000, MPI_Bcast
State, rank40, STATE, 1.106550, 1.195446, 0.088896, 0.000000, MPI_Gather
State, rank40, STATE, 1.195629, 2.818650, 1.623020, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00216126, 2.81919, 2.81702, rank4
State, rank4, STATE, 0.002162, 0.002162, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.002163, 0.002163, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.002211, 0.041929, 0.039717, 0.000000, MPI_Scatter
State, rank4, STATE, 0.041929, 0.163984, 0.122055, 0.000000, MPI_Bcast
State, rank4, STATE, 1.687046, 1.689198, 0.002152, 0.000000, MPI_Gather
State, rank4, STATE, 1.689356, 2.819185, 1.129830, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00209332, 2.81606, 2.81397, rank39
State, rank39, STATE, 0.002094, 0.002095, 0.000000, 0.000000, MPI_Comm_rank
State, rank39, STATE, 0.002095, 0.002096, 0.000001, 0.000000, MPI_Comm_size
