Container, 0, 0, 0, 1.1928, 1.1928, 0
Container, 0, ROOT, 0, 1.1928, 1.1928, root
Container, root, PROCESS, 0.00214338, 1.19221, 1.19007, rank5
State, rank5, STATE, 0.002145, 0.002145, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.002145, 0.002146, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.002193, 0.007934, 0.005741, 0.000000, MPI_Recv
State, rank5, STATE, 0.007935, 0.019161, 0.011226, 0.000000, MPI_Bcast
State, rank5, STATE, 0.160937, 0.161078, 0.000142, 0.000000, MPI_Send
State, rank5, STATE, 0.161199, 1.192214, 1.031016, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00103664, 1.1928, 1.19177, rank4
State, rank4, STATE, 0.001038, 0.001038, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.001038, 0.001039, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.001092, 0.007801, 0.006708, 0.000000, MPI_Recv
State, rank4, STATE, 0.007802, 0.018492, 0.010690, 0.000000, MPI_Bcast
State, rank4, STATE, 0.185429, 0.185597, 0.000167, 0.000000, MPI_Send
State, rank4, STATE, 0.185721, 1.192804, 1.007083, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00259614, 1.19245, 1.18986, rank3
State, rank3, STATE, 0.002598, 0.002598, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.002599, 0.002600, 0.000001, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.002668, 0.007319, 0.004651, 0.000000, MPI_Recv
State, rank3, STATE, 0.007321, 0.016014, 0.008693, 0.000000, MPI_Bcast
State, rank3, STATE, 0.149730, 0.149868, 0.000138, 0.000000, MPI_Send
State, rank3, STATE, 0.149983, 1.192454, 1.042471, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0016365, 1.19222, 1.19059, rank2
State, rank2, STATE, 0.001638, 0.001638, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.001639, 0.001641, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.001712, 0.007167, 0.005454, 0.000000, MPI_Recv
State, rank2, STATE, 0.007168, 0.013957, 0.006789, 0.000000, MPI_Bcast
State, rank2, STATE, 0.182895, 0.183059, 0.000164, 0.000000, MPI_Send
State, rank2, STATE, 0.183205, 1.192225, 1.009019, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 1.19221, 1.19221, rank1
State, rank1, STATE, 0.000001, 0.000002, 0.000001, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000003, 0.000004, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000053, 0.006680, 0.006627, 0.000000, MPI_Recv
State, rank1, STATE, 0.006680, 0.010578, 0.003898, 0.000000, MPI_Bcast
State, rank1, STATE, 0.150478, 0.150607, 0.000129, 0.000000, MPI_Send
State, rank1, STATE, 0.150753, 1.192215, 1.041462, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000508308, 1.19223, 1.19172, rank0
State, rank0, STATE, 0.000510, 0.000510, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000510, 0.000511, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.005684, 0.005686, 0.000002, 0.000000, MPI_Wtime
State, rank0, STATE, 0.005703, 0.006461, 0.000758, 0.000000, MPI_Send
State, rank0, STATE, 0.006462, 0.006767, 0.000305, 0.000000, MPI_Send
State, rank0, STATE, 0.006767, 0.007067, 0.000300, 0.000000, MPI_Send
State, rank0, STATE, 0.007067, 0.007437, 0.000370, 0.000000, MPI_Send
State, rank0, STATE, 0.007438, 0.007724, 0.000287, 0.000000, MPI_Send
State, rank0, STATE, 0.008151, 0.008834, 0.000683, 0.000000, MPI_Bcast
State, rank0, STATE, 0.150058, 0.150707, 0.000649, 0.000000, MPI_Recv
State, rank0, STATE, 0.150708, 0.183151, 0.032443, 0.000000, MPI_Recv
State, rank0, STATE, 0.183151, 0.183288, 0.000137, 0.000000, MPI_Recv
State, rank0, STATE, 0.183288, 0.185686, 0.002398, 0.000000, MPI_Recv
State, rank0, STATE, 0.185686, 0.185822, 0.000136, 0.000000, MPI_Recv
State, rank0, STATE, 0.185822, 0.185823, 0.000001, 0.000000, MPI_Wtime
State, rank0, STATE, 0.186302, 1.192231, 1.005929, 0.000000, MPI_Finalize
