Container, 0, 0, 0, 2.28214, 2.28214, 0
Container, 0, ROOT, 0, 2.28214, 2.28214, root
Container, root, PROCESS, 0.00116754, 2.28214, 2.28097, rank5
State, rank5, STATE, 0.001170, 0.001170, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.001170, 0.001172, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.001220, 0.024626, 0.023407, 0.000000, MPI_Scatter
State, rank5, STATE, 0.024627, 0.049824, 0.025197, 0.000000, MPI_Bcast
State, rank5, STATE, 1.054797, 1.271136, 0.216339, 0.000000, MPI_Gather
State, rank5, STATE, 1.271481, 2.282139, 1.010659, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 2.28153, 2.28153, rank4
State, rank4, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.000003, 0.000004, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.000058, 0.023868, 0.023809, 0.000000, MPI_Scatter
State, rank4, STATE, 0.023869, 0.049029, 0.025159, 0.000000, MPI_Bcast
State, rank4, STATE, 1.158092, 1.270157, 0.112065, 0.000000, MPI_Gather
State, rank4, STATE, 1.270488, 2.281534, 1.011047, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0027225, 2.28183, 2.27911, rank3
State, rank3, STATE, 0.002723, 0.002724, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.002724, 0.002725, 0.000000, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.002768, 0.023069, 0.020301, 0.000000, MPI_Scatter
State, rank3, STATE, 0.023070, 0.043818, 0.020748, 0.000000, MPI_Bcast
State, rank3, STATE, 1.242455, 1.268886, 0.026431, 0.000000, MPI_Gather
State, rank3, STATE, 1.269223, 2.281832, 1.012609, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00169849, 2.28108, 2.27938, rank2
State, rank2, STATE, 0.001700, 0.001700, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.001701, 0.001701, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.001745, 0.022369, 0.020624, 0.000000, MPI_Scatter
State, rank2, STATE, 0.022371, 0.037989, 0.015618, 0.000000, MPI_Bcast
State, rank2, STATE, 1.266727, 1.267865, 0.001138, 0.000000, MPI_Gather
State, rank2, STATE, 1.268202, 2.281076, 1.012874, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000552177, 2.28153, 2.28098, rank1
State, rank1, STATE, 0.000553, 0.000554, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000554, 0.000555, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000597, 0.021553, 0.020956, 0.000000, MPI_Scatter
State, rank1, STATE, 0.021555, 0.032364, 0.010809, 0.000000, MPI_Bcast
State, rank1, STATE, 1.240537, 1.251369, 0.010831, 0.000000, MPI_Gather
State, rank1, STATE, 1.251789, 2.281534, 1.029745, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00222492, 2.282, 2.27978, rank0
State, rank0, STATE, 0.002226, 0.002226, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.002227, 0.002228, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.018452, 0.018456, 0.000005, 0.000000, MPI_Wtime
State, rank0, STATE, 0.018462, 0.023797, 0.005335, 0.000000, MPI_Scatter
State, rank0, STATE, 0.023801, 0.027119, 0.003318, 0.000000, MPI_Bcast
State, rank0, STATE, 1.249990, 1.272449, 0.022459, 0.000000, MPI_Gather
State, rank0, STATE, 1.272450, 1.272450, 0.000001, 0.000000, MPI_Wtime
State, rank0, STATE, 1.273087, 2.282003, 1.008916, 0.000000, MPI_Finalize
