Container, 0, 0, 0, 1.65864, 1.65864, 0
Container, 0, ROOT, 0, 1.65864, 1.65864, root
Container, root, PROCESS, 0.0105569, 1.65747, 1.64692, rank95
State, rank95, STATE, 0.010558, 0.010558, 0.000000, 0.000000, MPI_Comm_rank
State, rank95, STATE, 0.010559, 0.010559, 0.000000, 0.000000, MPI_Comm_size
State, rank95, STATE, 0.010604, 0.182220, 0.171616, 0.000000, MPI_Recv
State, rank95, STATE, 0.182221, 0.452912, 0.270691, 0.000000, MPI_Bcast
State, rank95, STATE, 0.542072, 0.542185, 0.000113, 0.000000, MPI_Send
State, rank95, STATE, 0.542372, 1.657474, 1.115102, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00206471, 1.65678, 1.65471, rank94
State, rank94, STATE, 0.002065, 0.002066, 0.000000, 0.000000, MPI_Comm_rank
State, rank94, STATE, 0.002066, 0.002067, 0.000001, 0.000000, MPI_Comm_size
State, rank94, STATE, 0.002119, 0.140488, 0.138369, 0.000000, MPI_Recv
State, rank94, STATE, 0.140490, 0.448676, 0.308187, 0.000000, MPI_Bcast
State, rank94, STATE, 0.611600, 0.611780, 0.000180, 0.000000, MPI_Send
State, rank94, STATE, 0.612001, 1.656779, 1.044778, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00139356, 1.6541, 1.6527, rank93
State, rank93, STATE, 0.001395, 0.001395, 0.000000, 0.000000, MPI_Comm_rank
State, rank93, STATE, 0.001395, 0.001395, 0.000000, 0.000000, MPI_Comm_size
State, rank93, STATE, 0.001438, 0.139684, 0.138247, 0.000000, MPI_Recv
State, rank93, STATE, 0.139685, 0.446418, 0.306732, 0.000000, MPI_Bcast
State, rank93, STATE, 0.615887, 0.616018, 0.000131, 0.000000, MPI_Send
State, rank93, STATE, 0.616323, 1.654096, 1.037774, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0127385, 1.65864, 1.64591, rank92
State, rank92, STATE, 0.012740, 0.012740, 0.000000, 0.000000, MPI_Comm_rank
State, rank92, STATE, 0.012741, 0.012743, 0.000001, 0.000000, MPI_Comm_size
State, rank92, STATE, 0.012825, 0.139084, 0.126260, 0.000000, MPI_Recv
State, rank92, STATE, 0.139086, 0.452102, 0.313016, 0.000000, MPI_Bcast
State, rank92, STATE, 0.605825, 0.605917, 0.000092, 0.000000, MPI_Send
State, rank92, STATE, 0.606093, 1.658644, 1.052551, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00260806, 1.65538, 1.65278, rank91
