Container, 0, 0, 0, 1.72157, 1.72157, 0
Container, 0, ROOT, 0, 1.72157, 1.72157, root
Container, root, PROCESS, 0.00486207, 1.71898, 1.71412, rank9
State, rank9, STATE, 0.004864, 0.004864, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.004864, 0.004866, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.004932, 0.026846, 0.021914, 0.000000, MPI_Scatter
State, rank9, STATE, 0.026848, 0.108435, 0.081587, 0.000000, MPI_Bcast
State, rank9, STATE, 0.562542, 0.562711, 0.000169, 0.000000, MPI_Gather
State, rank9, STATE, 0.562876, 1.718983, 1.156107, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0118299, 1.72109, 1.70926, rank8
State, rank8, STATE, 0.011831, 0.011831, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.011831, 0.011832, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.011874, 0.026284, 0.014409, 0.000000, MPI_Scatter
State, rank8, STATE, 0.026284, 0.112991, 0.086707, 0.000000, MPI_Bcast
State, rank8, STATE, 0.392982, 0.655638, 0.262657, 0.000000, MPI_Gather
State, rank8, STATE, 0.655803, 1.721090, 1.065286, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000481844, 1.7205, 1.72002, rank7
State, rank7, STATE, 0.000483, 0.000483, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.000484, 0.000485, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.000530, 0.026023, 0.025494, 0.000000, MPI_Scatter
State, rank7, STATE, 0.026025, 0.134672, 0.108647, 0.000000, MPI_Bcast
State, rank7, STATE, 0.659802, 0.671298, 0.011495, 0.000000, MPI_Gather
State, rank7, STATE, 0.671489, 1.720502, 1.049014, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0113933, 1.71997, 1.70857, rank6
State, rank6, STATE, 0.011394, 0.011395, 0.000001, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.011395, 0.011397, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.011466, 0.025629, 0.014163, 0.000000, MPI_Scatter
State, rank6, STATE, 0.025630, 0.134087, 0.108457, 0.000000, MPI_Bcast
State, rank6, STATE, 0.670351, 0.671743, 0.001392, 0.000000, MPI_Gather
State, rank6, STATE, 0.671939, 1.719966, 1.048027, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0102844, 1.71853, 1.70825, rank5
State, rank5, STATE, 0.010286, 0.010286, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.010286, 0.010287, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.010335, 0.025068, 0.014733, 0.000000, MPI_Scatter
State, rank5, STATE, 0.025069, 0.127184, 0.102115, 0.000000, MPI_Bcast
State, rank5, STATE, 0.409559, 0.409773, 0.000213, 0.000000, MPI_Gather
State, rank5, STATE, 0.409963, 1.718534, 1.308570, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00108385, 1.72038, 1.7193, rank4
State, rank4, STATE, 0.001085, 0.001085, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.001085, 0.001086, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.001127, 0.024779, 0.023653, 0.000000, MPI_Scatter
State, rank4, STATE, 0.024781, 0.133709, 0.108928, 0.000000, MPI_Bcast
State, rank4, STATE, 0.663241, 0.672209, 0.008968, 0.000000, MPI_Gather
State, rank4, STATE, 0.672359, 1.720382, 1.048023, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0126743, 1.72157, 1.70889, rank31
State, rank31, STATE, 0.012676, 0.012677, 0.000001, 0.000000, MPI_Comm_rank
State, rank31, STATE, 0.012677, 0.012679, 0.000001, 0.000000, MPI_Comm_size
State, rank31, STATE, 0.012733, 0.090834, 0.078101, 0.000000, MPI_Scatter
State, rank31, STATE, 0.090836, 0.157480, 0.066645, 0.000000, MPI_Bcast
State, rank31, STATE, 0.700731, 0.701844, 0.001113, 0.000000, MPI_Gather
State, rank31, STATE, 0.702356, 1.721569, 1.019212, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0139182, 1.7203, 1.70639, rank30
State, rank30, STATE, 0.013920, 0.013920, 0.000000, 0.000000, MPI_Comm_rank
State, rank30, STATE, 0.013921, 0.013921, 0.000001, 0.000000, MPI_Comm_size
State, rank30, STATE, 0.013989, 0.035707, 0.021718, 0.000000, MPI_Scatter
State, rank30, STATE, 0.035708, 0.155325, 0.119617, 0.000000, MPI_Bcast
State, rank30, STATE, 0.677247, 0.702242, 0.024995, 0.000000, MPI_Gather
State, rank30, STATE, 0.702388, 1.720304, 1.017916, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00156093, 1.71988, 1.71832, rank3
State, rank3, STATE, 0.001562, 0.001562, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.001562, 0.001563, 0.000000, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.001604, 0.024390, 0.022786, 0.000000, MPI_Scatter
State, rank3, STATE, 0.024391, 0.124970, 0.100579, 0.000000, MPI_Bcast
State, rank3, STATE, 0.586282, 0.587188, 0.000907, 0.000000, MPI_Gather
State, rank3, STATE, 0.587474, 1.719885, 1.132411, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00867081, 1.72081, 1.71214, rank29
State, rank29, STATE, 0.008672, 0.008672, 0.000000, 0.000000, MPI_Comm_rank
State, rank29, STATE, 0.008672, 0.008673, 0.000001, 0.000000, MPI_Comm_size
State, rank29, STATE, 0.008717, 0.035276, 0.026560, 0.000000, MPI_Scatter
State, rank29, STATE, 0.035278, 0.151407, 0.116129, 0.000000, MPI_Bcast
State, rank29, STATE, 0.678635, 0.679069, 0.000434, 0.000000, MPI_Gather
State, rank29, STATE, 0.679259, 1.720809, 1.041550, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0155637, 1.72062, 1.70505, rank28
State, rank28, STATE, 0.015566, 0.015566, 0.000000, 0.000000, MPI_Comm_rank
State, rank28, STATE, 0.015567, 0.015568, 0.000001, 0.000000, MPI_Comm_size
State, rank28, STATE, 0.015639, 0.034854, 0.019215, 0.000000, MPI_Scatter
State, rank28, STATE, 0.034856, 0.156411, 0.121556, 0.000000, MPI_Bcast
State, rank28, STATE, 0.688713, 0.703176, 0.014462, 0.000000, MPI_Gather
State, rank28, STATE, 0.703332, 1.720618, 1.017286, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00538611, 1.72109, 1.71571, rank27
State, rank27, STATE, 0.005387, 0.005387, 0.000000, 0.000000, MPI_Comm_rank
State, rank27, STATE, 0.005388, 0.005388, 0.000001, 0.000000, MPI_Comm_size
State, rank27, STATE, 0.005430, 0.034429, 0.029000, 0.000000, MPI_Scatter
State, rank27, STATE, 0.034431, 0.143388, 0.108957, 0.000000, MPI_Bcast
State, rank27, STATE, 0.671937, 0.672577, 0.000640, 0.000000, MPI_Gather
State, rank27, STATE, 0.672736, 1.721094, 1.048358, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00810718, 1.72031, 1.71221, rank26
State, rank26, STATE, 0.008108, 0.008109, 0.000000, 0.000000, MPI_Comm_rank
