Container, 0, 0, 0, 3.70299, 3.70299, 0
Container, 0, ROOT, 0, 3.70299, 3.70299, root
Container, root, PROCESS, 0.000612497, 3.70289, 3.70228, rank1
State, rank1, STATE, 0.000614, 0.000614, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000614, 0.000615, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000673, 0.001127, 0.000454, 0.000000, MPI_Irecv
State, rank1, STATE, 0.001144, 0.021325, 0.020181, 0.000000, MPI_Wait
State, rank1, STATE, 0.021378, 0.029710, 0.008332, 0.000000, MPI_Wait
State, rank1, STATE, 2.652746, 2.654666, 0.001920, 0.000000, MPI_Isend
State, rank1, STATE, 2.654714, 2.654734, 0.000020, 0.000000, MPI_Wait
State, rank1, STATE, 2.655236, 3.702889, 1.047653, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 3.70299, 3.70299, rank0
State, rank0, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000003, 0.000005, 0.000002, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.017141, 0.017153, 0.000012, 0.000000, MPI_Wtime
State, rank0, STATE, 0.017159, 0.019881, 0.002722, 0.000000, MPI_Isend
State, rank0, STATE, 0.027335, 0.028119, 0.000784, 0.000000, MPI_Wait
State, rank0, STATE, 2.692147, 2.692257, 0.000111, 0.000000, MPI_Irecv
State, rank0, STATE, 2.692271, 2.694161, 0.001890, 0.000000, MPI_Wait
State, rank0, STATE, 2.694161, 2.694169, 0.000008, 0.000000, MPI_Wtime
State, rank0, STATE, 2.694993, 3.702994, 1.008001, 0.000000, MPI_Finalize
