Container, 0, 0, 0, 1.40482, 1.40482, 0
Container, 0, ROOT, 0, 1.40482, 1.40482, root
Container, root, PROCESS, 0, 1.40481, 1.40481, rank1
State, rank1, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000003, 0.000005, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000066, 0.008284, 0.008218, 0.000000, MPI_Recv
State, rank1, STATE, 0.008285, 0.010453, 0.002167, 0.000000, MPI_Bcast
State, rank1, STATE, 0.398470, 0.398787, 0.000317, 0.000000, MPI_Send
State, rank1, STATE, 0.399046, 1.404814, 1.005768, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00059247, 1.40482, 1.40422, rank0
State, rank0, STATE, 0.000594, 0.000594, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000594, 0.000600, 0.000006, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.006293, 0.006299, 0.000007, 0.000000, MPI_Wtime
State, rank0, STATE, 0.006325, 0.007534, 0.001208, 0.000000, MPI_Send
State, rank0, STATE, 0.008902, 0.009837, 0.000936, 0.000000, MPI_Bcast
State, rank0, STATE, 0.397569, 0.398879, 0.001310, 0.000000, MPI_Recv
State, rank0, STATE, 0.398880, 0.398880, 0.000000, 0.000000, MPI_Wtime
State, rank0, STATE, 0.399408, 1.404816, 1.005409, 0.000000, MPI_Finalize
