Container, 0, 0, 0, 1.24083, 1.24083, 0
Container, 0, ROOT, 0, 1.24083, 1.24083, root
Container, root, PROCESS, 0.0073874, 1.23889, 1.2315, rank95
State, rank95, STATE, 0.007389, 0.007389, 0.000000, 0.000000, MPI_Comm_rank
State, rank95, STATE, 0.007390, 0.007390, 0.000001, 0.000000, MPI_Comm_size
State, rank95, STATE, 0.007438, 0.120859, 0.113421, 0.000000, MPI_Scatter
State, rank95, STATE, 0.120861, 0.190204, 0.069343, 0.000000, MPI_Bcast
State, rank95, STATE, 0.213049, 0.213287, 0.000238, 0.000000, MPI_Gather
State, rank95, STATE, 0.213410, 1.238890, 1.025480, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00385451, 1.2384, 1.23454, rank94
State, rank94, STATE, 0.003856, 0.003856, 0.000000, 0.000000, MPI_Comm_rank
State, rank94, STATE, 0.003856, 0.003857, 0.000001, 0.000000, MPI_Comm_size
State, rank94, STATE, 0.003897, 0.065966, 0.062069, 0.000000, MPI_Scatter
State, rank94, STATE, 0.065967, 0.189056, 0.123089, 0.000000, MPI_Bcast
State, rank94, STATE, 0.211554, 0.213373, 0.001819, 0.000000, MPI_Gather
State, rank94, STATE, 0.213527, 1.238398, 1.024871, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0121562, 1.23865, 1.22649, rank93
State, rank93, STATE, 0.012158, 0.012158, 0.000001, 0.000000, MPI_Comm_rank
State, rank93, STATE, 0.012159, 0.012160, 0.000001, 0.000000, MPI_Comm_size
State, rank93, STATE, 0.012232, 0.065337, 0.053105, 0.000000, MPI_Scatter
State, rank93, STATE, 0.065339, 0.187949, 0.122610, 0.000000, MPI_Bcast
State, rank93, STATE, 0.211795, 0.211853, 0.000058, 0.000000, MPI_Gather
State, rank93, STATE, 0.212002, 1.238646, 1.026644, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00672126, 1.23947, 1.23275, rank92
State, rank92, STATE, 0.006723, 0.006723, 0.000001, 0.000000, MPI_Comm_rank
State, rank92, STATE, 0.006724, 0.006725, 0.000001, 0.000000, MPI_Comm_size
State, rank92, STATE, 0.006786, 0.064687, 0.057902, 0.000000, MPI_Scatter
State, rank92, STATE, 0.064689, 0.188936, 0.124246, 0.000000, MPI_Bcast
State, rank92, STATE, 0.209569, 0.213640, 0.004071, 0.000000, MPI_Gather
State, rank92, STATE, 0.213753, 1.239472, 1.025719, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0097692, 1.23897, 1.22921, rank91
State, rank91, STATE, 0.009770, 0.009771, 0.000000, 0.000000, MPI_Comm_rank
State, rank91, STATE, 0.009771, 0.009772, 0.000001, 0.000000, MPI_Comm_size
State, rank91, STATE, 0.009810, 0.064140, 0.054330, 0.000000, MPI_Scatter
State, rank91, STATE, 0.064140, 0.190197, 0.126057, 0.000000, MPI_Bcast
State, rank91, STATE, 0.199536, 0.211354, 0.011818, 0.000000, MPI_Gather
State, rank91, STATE, 0.211494, 1.238975, 1.027481, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00807857, 1.23829, 1.23021, rank90
State, rank90, STATE, 0.008080, 0.008080, 0.000000, 0.000000, MPI_Comm_rank
State, rank90, STATE, 0.008080, 0.008081, 0.000001, 0.000000, MPI_Comm_size
State, rank90, STATE, 0.008129, 0.063352, 0.055222, 0.000000, MPI_Scatter
State, rank90, STATE, 0.063353, 0.189314, 0.125961, 0.000000, MPI_Bcast
State, rank90, STATE, 0.211155, 0.211443, 0.000288, 0.000000, MPI_Gather
State, rank90, STATE, 0.211562, 1.238292, 1.026730, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0131547, 1.24079, 1.22763, rank9
State, rank9, STATE, 0.013156, 0.013157, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.013157, 0.013159, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.013225, 0.022177, 0.008952, 0.000000, MPI_Scatter
State, rank9, STATE, 0.022178, 0.129539, 0.107362, 0.000000, MPI_Bcast
State, rank9, STATE, 0.150909, 0.150983, 0.000075, 0.000000, MPI_Gather
State, rank9, STATE, 0.151169, 1.240788, 1.089618, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0024848, 1.23949, 1.237, rank89
State, rank89, STATE, 0.002486, 0.002487, 0.000001, 0.000000, MPI_Comm_rank
State, rank89, STATE, 0.002487, 0.002488, 0.000001, 0.000000, MPI_Comm_size
State, rank89, STATE, 0.002546, 0.062747, 0.060200, 0.000000, MPI_Scatter
State, rank89, STATE, 0.062748, 0.187900, 0.125152, 0.000000, MPI_Bcast
State, rank89, STATE, 0.212157, 0.212247, 0.000090, 0.000000, MPI_Gather
State, rank89, STATE, 0.212489, 1.239487, 1.026998, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00906372, 1.23791, 1.22885, rank88
State, rank88, STATE, 0.009065, 0.009066, 0.000000, 0.000000, MPI_Comm_rank
State, rank88, STATE, 0.009066, 0.009067, 0.000001, 0.000000, MPI_Comm_size
State, rank88, STATE, 0.009128, 0.061901, 0.052773, 0.000000, MPI_Scatter
State, rank88, STATE, 0.061902, 0.189591, 0.127689, 0.000000, MPI_Bcast
State, rank88, STATE, 0.212685, 0.213785, 0.001100, 0.000000, MPI_Gather
State, rank88, STATE, 0.213898, 1.237913, 1.024015, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00947308, 1.23838, 1.22891, rank87
State, rank87, STATE, 0.009475, 0.009475, 0.000000, 0.000000, MPI_Comm_rank
