Container, 0, 0, 0, 2.15945, 2.15945, 0
Container, 0, ROOT, 0, 2.15945, 2.15945, root
Container, root, PROCESS, 0.00104237, 2.15768, 2.15664, rank7
State, rank7, STATE, 0.001043, 0.001044, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.001044, 0.001045, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.001088, 0.023592, 0.022504, 0.000000, MPI_Scatter
State, rank7, STATE, 0.023593, 0.041713, 0.018121, 0.000000, MPI_Bcast
State, rank7, STATE, 1.102136, 1.103130, 0.000994, 0.000000, MPI_Gather
State, rank7, STATE, 1.103426, 2.157679, 1.054253, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00161004, 2.15838, 2.15677, rank6
State, rank6, STATE, 0.001611, 0.001611, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.001611, 0.001612, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.001653, 0.023152, 0.021499, 0.000000, MPI_Scatter
State, rank6, STATE, 0.023153, 0.041607, 0.018454, 0.000000, MPI_Bcast
State, rank6, STATE, 0.898751, 1.105139, 0.206388, 0.000000, MPI_Gather
State, rank6, STATE, 1.105467, 2.158378, 1.052912, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 2.1587, 2.1587, rank5
State, rank5, STATE, 0.000001, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.000002, 0.000004, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.000045, 0.022700, 0.022655, 0.000000, MPI_Scatter
State, rank5, STATE, 0.022701, 0.040802, 0.018100, 0.000000, MPI_Bcast
State, rank5, STATE, 1.106182, 1.107178, 0.000996, 0.000000, MPI_Gather
State, rank5, STATE, 1.107469, 2.158697, 1.051228, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00221109, 2.15945, 2.15724, rank4
State, rank4, STATE, 0.002213, 0.002213, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.002214, 0.002215, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.002263, 0.022323, 0.020060, 0.000000, MPI_Scatter
State, rank4, STATE, 0.022324, 0.041692, 0.019367, 0.000000, MPI_Bcast
State, rank4, STATE, 0.763584, 1.110064, 0.346480, 0.000000, MPI_Gather
State, rank4, STATE, 1.110329, 2.159447, 1.049118, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000468969, 2.15766, 2.15719, rank3
State, rank3, STATE, 0.000470, 0.000470, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.000471, 0.000471, 0.000001, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.000511, 0.021575, 0.021064, 0.000000, MPI_Scatter
State, rank3, STATE, 0.021576, 0.030254, 0.008678, 0.000000, MPI_Bcast
State, rank3, STATE, 1.098475, 1.099586, 0.001111, 0.000000, MPI_Gather
State, rank3, STATE, 1.099904, 2.157663, 1.057759, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00275874, 2.15827, 2.15551, rank2
State, rank2, STATE, 0.002759, 0.002760, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.002760, 0.002761, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.002803, 0.021528, 0.018725, 0.000000, MPI_Scatter
State, rank2, STATE, 0.021531, 0.040707, 0.019176, 0.000000, MPI_Bcast
State, rank2, STATE, 1.057572, 1.100474, 0.042902, 0.000000, MPI_Gather
State, rank2, STATE, 1.100779, 2.158268, 1.057489, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00388551, 2.15776, 2.15388, rank1
State, rank1, STATE, 0.003887, 0.003887, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.003888, 0.003889, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.003969, 0.020885, 0.016915, 0.000000, MPI_Scatter
State, rank1, STATE, 0.020886, 0.040452, 0.019566, 0.000000, MPI_Bcast
State, rank1, STATE, 1.144303, 1.145011, 0.000708, 0.000000, MPI_Gather
State, rank1, STATE, 1.145425, 2.157762, 1.012337, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00331664, 2.15877, 2.15545, rank0
State, rank0, STATE, 0.003318, 0.003318, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.003318, 0.003319, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.018081, 0.018085, 0.000005, 0.000000, MPI_Wtime
State, rank0, STATE, 0.018090, 0.023012, 0.004922, 0.000000, MPI_Scatter
State, rank0, STATE, 0.023015, 0.041517, 0.018502, 0.000000, MPI_Bcast
State, rank0, STATE, 1.003895, 1.149085, 0.145190, 0.000000, MPI_Gather
State, rank0, STATE, 1.149086, 1.149086, 0.000001, 0.000000, MPI_Wtime
State, rank0, STATE, 1.149882, 2.158767, 1.008885, 0.000000, MPI_Finalize
