Container, 0, 0, 0, 1.18312, 1.18312, 0
Container, 0, ROOT, 0, 1.18312, 1.18312, root
Container, root, PROCESS, 0.00450563, 1.1824, 1.17789, rank9
State, rank9, STATE, 0.004506, 0.004507, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.004507, 0.004508, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.004549, 0.018293, 0.013744, 0.000000, MPI_Scatter
State, rank9, STATE, 0.018294, 0.027611, 0.009318, 0.000000, MPI_Bcast
State, rank9, STATE, 0.101376, 0.101675, 0.000298, 0.000000, MPI_Gather
State, rank9, STATE, 0.101822, 1.182400, 1.080579, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00174785, 1.18234, 1.18059, rank8
State, rank8, STATE, 0.001749, 0.001749, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.001750, 0.001750, 0.000000, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.001789, 0.018003, 0.016213, 0.000000, MPI_Scatter
State, rank8, STATE, 0.018003, 0.027027, 0.009024, 0.000000, MPI_Bcast
State, rank8, STATE, 0.100178, 0.125317, 0.025140, 0.000000, MPI_Gather
State, rank8, STATE, 0.125426, 1.182338, 1.056912, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00611305, 1.18312, 1.17701, rank7
State, rank7, STATE, 0.006114, 0.006115, 0.000001, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.006116, 0.006117, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.006188, 0.017821, 0.011633, 0.000000, MPI_Scatter
State, rank7, STATE, 0.017823, 0.026591, 0.008768, 0.000000, MPI_Bcast
State, rank7, STATE, 0.173686, 0.173975, 0.000288, 0.000000, MPI_Gather
State, rank7, STATE, 0.174103, 1.183121, 1.009018, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00403643, 1.18243, 1.1784, rank6
State, rank6, STATE, 0.004037, 0.004038, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.004038, 0.004039, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.004085, 0.017456, 0.013370, 0.000000, MPI_Scatter
State, rank6, STATE, 0.017457, 0.025945, 0.008488, 0.000000, MPI_Bcast
State, rank6, STATE, 0.117975, 0.174376, 0.056401, 0.000000, MPI_Gather
State, rank6, STATE, 0.174487, 1.182433, 1.007946, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00294518, 1.1818, 1.17886, rank5
State, rank5, STATE, 0.002947, 0.002947, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.002948, 0.002949, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.002996, 0.017056, 0.014060, 0.000000, MPI_Scatter
State, rank5, STATE, 0.017057, 0.024364, 0.007307, 0.000000, MPI_Bcast
State, rank5, STATE, 0.090938, 0.097620, 0.006682, 0.000000, MPI_Gather
State, rank5, STATE, 0.097726, 1.181804, 1.084078, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00350261, 1.18245, 1.17895, rank4
State, rank4, STATE, 0.003503, 0.003504, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.003504, 0.003505, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.003544, 0.016644, 0.013100, 0.000000, MPI_Scatter
State, rank4, STATE, 0.016645, 0.023306, 0.006661, 0.000000, MPI_Bcast
State, rank4, STATE, 0.097266, 0.174875, 0.077609, 0.000000, MPI_Gather
State, rank4, STATE, 0.174987, 1.182454, 1.007467, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00558281, 1.18307, 1.17749, rank3
State, rank3, STATE, 0.005584, 0.005584, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.005585, 0.005586, 0.000001, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.005628, 0.016458, 0.010830, 0.000000, MPI_Scatter
State, rank3, STATE, 0.016459, 0.023183, 0.006724, 0.000000, MPI_Bcast
State, rank3, STATE, 0.172336, 0.172700, 0.000365, 0.000000, MPI_Gather
State, rank3, STATE, 0.172901, 1.183073, 1.010172, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 1.183, 1.183, rank2
State, rank2, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.000003, 0.000004, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.000042, 0.016002, 0.015960, 0.000000, MPI_Scatter
State, rank2, STATE, 0.016003, 0.021306, 0.005303, 0.000000, MPI_Bcast
State, rank2, STATE, 0.095117, 0.172981, 0.077864, 0.000000, MPI_Gather
State, rank2, STATE, 0.173091, 1.183004, 1.009914, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00234366, 1.18252, 1.18018, rank11
State, rank11, STATE, 0.002345, 0.002345, 0.000000, 0.000000, MPI_Comm_rank
State, rank11, STATE, 0.002346, 0.002347, 0.000001, 0.000000, MPI_Comm_size
State, rank11, STATE, 0.002418, 0.018994, 0.016577, 0.000000, MPI_Scatter
State, rank11, STATE, 0.018996, 0.029248, 0.010253, 0.000000, MPI_Bcast
State, rank11, STATE, 0.124234, 0.124519, 0.000284, 0.000000, MPI_Gather
State, rank11, STATE, 0.124694, 1.182523, 1.057829, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000548601, 1.18245, 1.1819, rank10
State, rank10, STATE, 0.000549, 0.000550, 0.000000, 0.000000, MPI_Comm_rank
State, rank10, STATE, 0.000550, 0.000551, 0.000000, 0.000000, MPI_Comm_size
State, rank10, STATE, 0.000589, 0.018580, 0.017991, 0.000000, MPI_Scatter
State, rank10, STATE, 0.018581, 0.028265, 0.009684, 0.000000, MPI_Bcast
State, rank10, STATE, 0.100571, 0.124914, 0.024343, 0.000000, MPI_Gather
State, rank10, STATE, 0.125021, 1.182446, 1.057425, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00111413, 1.183, 1.18189, rank1
State, rank1, STATE, 0.001115, 0.001115, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.001115, 0.001116, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.001154, 0.015782, 0.014629, 0.000000, MPI_Scatter
State, rank1, STATE, 0.015784, 0.020994, 0.005210, 0.000000, MPI_Bcast
State, rank1, STATE, 0.119044, 0.119165, 0.000121, 0.000000, MPI_Gather
State, rank1, STATE, 0.119306, 1.183004, 1.063698, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00500607, 1.18242, 1.17742, rank0
State, rank0, STATE, 0.005008, 0.005008, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.005009, 0.005010, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.014093, 0.014096, 0.000004, 0.000000, MPI_Wtime
State, rank0, STATE, 0.014102, 0.018824, 0.004722, 0.000000, MPI_Scatter
State, rank0, STATE, 0.018827, 0.028416, 0.009589, 0.000000, MPI_Bcast
State, rank0, STATE, 0.121260, 0.175203, 0.053942, 0.000000, MPI_Gather
State, rank0, STATE, 0.175203, 0.175204, 0.000001, 0.000000, MPI_Wtime
State, rank0, STATE, 0.175637, 1.182421, 1.006785, 0.000000, MPI_Finalize
