Container, 0, 0, 0, 3.71244, 3.71244, 0
Container, 0, ROOT, 0, 3.71244, 3.71244, root
Container, root, PROCESS, 0, 3.71244, 3.71244, rank1
State, rank1, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000003, 0.000005, 0.000002, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000061, 0.000542, 0.000482, 0.000000, MPI_Irecv
State, rank1, STATE, 0.000558, 0.021950, 0.021392, 0.000000, MPI_Wait
State, rank1, STATE, 0.022006, 0.030161, 0.008155, 0.000000, MPI_Wait
State, rank1, STATE, 2.672851, 2.674700, 0.001849, 0.000000, MPI_Isend
State, rank1, STATE, 2.674742, 2.674762, 0.000020, 0.000000, MPI_Wait
State, rank1, STATE, 2.675271, 3.712441, 1.037170, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000530243, 3.71241, 3.71188, rank0
State, rank0, STATE, 0.000531, 0.000532, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000532, 0.000533, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.017739, 0.017753, 0.000014, 0.000000, MPI_Wtime
State, rank0, STATE, 0.017760, 0.020423, 0.002663, 0.000000, MPI_Isend
State, rank0, STATE, 0.027372, 0.028859, 0.001487, 0.000000, MPI_Wait
State, rank0, STATE, 2.695292, 2.695399, 0.000107, 0.000000, MPI_Irecv
State, rank0, STATE, 2.695415, 2.697241, 0.001825, 0.000000, MPI_Wait
State, rank0, STATE, 2.697241, 2.697248, 0.000007, 0.000000, MPI_Wtime
State, rank0, STATE, 2.698119, 3.712414, 1.014295, 0.000000, MPI_Finalize
