Container, 0, 0, 0, 1.98234, 1.98234, 0
Container, 0, ROOT, 0, 1.98234, 1.98234, root
Container, root, PROCESS, 0.0221953, 1.98004, 1.95784, rank9
State, rank9, STATE, 0.022197, 0.022197, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.022197, 0.022198, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.022256, 0.050223, 0.027967, 0.000000, MPI_Recv
State, rank9, STATE, 0.050225, 0.076573, 0.026348, 0.000000, MPI_Bcast
State, rank9, STATE, 0.963487, 0.963845, 0.000358, 0.000000, MPI_Send
State, rank9, STATE, 0.964052, 1.980036, 1.015984, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00643468, 1.98234, 1.97591, rank8
State, rank8, STATE, 0.006436, 0.006436, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.006436, 0.006437, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.006489, 0.049718, 0.043229, 0.000000, MPI_Recv
State, rank8, STATE, 0.049720, 0.075983, 0.026263, 0.000000, MPI_Bcast
State, rank8, STATE, 0.782153, 0.782632, 0.000480, 0.000000, MPI_Send
State, rank8, STATE, 0.782847, 1.982340, 1.199493, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00209689, 1.98024, 1.97814, rank7
State, rank7, STATE, 0.002098, 0.002098, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.002098, 0.002099, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.002150, 0.048918, 0.046768, 0.000000, MPI_Recv
State, rank7, STATE, 0.048919, 0.075647, 0.026728, 0.000000, MPI_Bcast
State, rank7, STATE, 0.642024, 0.642443, 0.000419, 0.000000, MPI_Send
State, rank7, STATE, 0.642633, 1.980239, 1.337606, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0157216, 1.98038, 1.96466, rank6
State, rank6, STATE, 0.015723, 0.015723, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.015723, 0.015724, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.015777, 0.048731, 0.032954, 0.000000, MPI_Recv
State, rank6, STATE, 0.048733, 0.075824, 0.027091, 0.000000, MPI_Bcast
State, rank6, STATE, 0.943342, 0.943723, 0.000381, 0.000000, MPI_Send
State, rank6, STATE, 0.943913, 1.980382, 1.036469, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00351214, 1.98004, 1.97652, rank5
State, rank5, STATE, 0.003513, 0.003514, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.003514, 0.003515, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.003561, 0.048241, 0.044680, 0.000000, MPI_Recv
State, rank5, STATE, 0.048243, 0.076070, 0.027827, 0.000000, MPI_Bcast
State, rank5, STATE, 0.643784, 0.644204, 0.000421, 0.000000, MPI_Send
State, rank5, STATE, 0.644406, 1.980036, 1.335630, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0256634, 1.98164, 1.95597, rank4
State, rank4, STATE, 0.025664, 0.025665, 0.000001, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.025665, 0.025666, 0.000001, 0.000000, MPI_Comm_size
