Container, 0, 0, 0, 1.15733, 1.15733, 0
Container, 0, ROOT, 0, 1.15733, 1.15733, root
Container, root, PROCESS, 0.00843859, 1.15686, 1.14842, rank9
State, rank9, STATE, 0.008440, 0.008441, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.008441, 0.008442, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.008515, 0.019309, 0.010794, 0.000000, MPI_Scatter
State, rank9, STATE, 0.019310, 0.065036, 0.045726, 0.000000, MPI_Bcast
State, rank9, STATE, 0.138800, 0.138906, 0.000107, 0.000000, MPI_Gather
State, rank9, STATE, 0.139117, 1.156857, 1.017740, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00431371, 1.15605, 1.15174, rank8
State, rank8, STATE, 0.004315, 0.004316, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.004317, 0.004318, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.004383, 0.019079, 0.014696, 0.000000, MPI_Scatter
State, rank8, STATE, 0.019080, 0.066549, 0.047469, 0.000000, MPI_Bcast
State, rank8, STATE, 0.141260, 0.142574, 0.001314, 0.000000, MPI_Gather
State, rank8, STATE, 0.142756, 1.156054, 1.013298, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00323749, 1.15692, 1.15368, rank7
State, rank7, STATE, 0.003238, 0.003239, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.003239, 0.003240, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.003280, 0.018838, 0.015558, 0.000000, MPI_Scatter
State, rank7, STATE, 0.018839, 0.067386, 0.048547, 0.000000, MPI_Bcast
State, rank7, STATE, 0.144409, 0.144734, 0.000325, 0.000000, MPI_Gather
State, rank7, STATE, 0.144929, 1.156918, 1.011989, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00568938, 1.15707, 1.15138, rank6
State, rank6, STATE, 0.005691, 0.005692, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.005692, 0.005702, 0.000010, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.005771, 0.018622, 0.012851, 0.000000, MPI_Scatter
State, rank6, STATE, 0.018623, 0.065585, 0.046962, 0.000000, MPI_Bcast
State, rank6, STATE, 0.136414, 0.144869, 0.008455, 0.000000, MPI_Gather
State, rank6, STATE, 0.144998, 1.157071, 1.012073, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00883341, 1.15634, 1.14751, rank5
State, rank5, STATE, 0.008834, 0.008835, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.008835, 0.008840, 0.000005, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.008883, 0.018312, 0.009429, 0.000000, MPI_Scatter
State, rank5, STATE, 0.018312, 0.063470, 0.045158, 0.000000, MPI_Bcast
State, rank5, STATE, 0.091770, 0.091892, 0.000122, 0.000000, MPI_Gather
State, rank5, STATE, 0.092047, 1.156345, 1.064297, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00983357, 1.15692, 1.14709, rank4
State, rank4, STATE, 0.009835, 0.009836, 0.000001, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.009836, 0.009837, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.009903, 0.018151, 0.008248, 0.000000, MPI_Scatter
State, rank4, STATE, 0.018152, 0.065976, 0.047824, 0.000000, MPI_Bcast
State, rank4, STATE, 0.128657, 0.145117, 0.016460, 0.000000, MPI_Gather
State, rank4, STATE, 0.145284, 1.156922, 1.011638, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00264573, 1.15688, 1.15423, rank31
State, rank31, STATE, 0.002647, 0.002647, 0.000000, 0.000000, MPI_Comm_rank
State, rank31, STATE, 0.002647, 0.002648, 0.000001, 0.000000, MPI_Comm_size
State, rank31, STATE, 0.002687, 0.058738, 0.056051, 0.000000, MPI_Scatter
State, rank31, STATE, 0.058739, 0.070248, 0.011509, 0.000000, MPI_Bcast
State, rank31, STATE, 0.134690, 0.135006, 0.000316, 0.000000, MPI_Gather
State, rank31, STATE, 0.135181, 1.156880, 1.021699, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0127757, 1.15632, 1.14354, rank30
State, rank30, STATE, 0.012778, 0.012778, 0.000000, 0.000000, MPI_Comm_rank
State, rank30, STATE, 0.012779, 0.012780, 0.000001, 0.000000, MPI_Comm_size
State, rank30, STATE, 0.012836, 0.023839, 0.011003, 0.000000, MPI_Scatter
State, rank30, STATE, 0.023840, 0.069588, 0.045747, 0.000000, MPI_Bcast
State, rank30, STATE, 0.131881, 0.135134, 0.003253, 0.000000, MPI_Gather
State, rank30, STATE, 0.135253, 1.156315, 1.021063, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00215316, 1.15669, 1.15454, rank3
State, rank3, STATE, 0.002154, 0.002154, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.002155, 0.002155, 0.000000, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.002196, 0.017873, 0.015677, 0.000000, MPI_Scatter
State, rank3, STATE, 0.017873, 0.064764, 0.046891, 0.000000, MPI_Bcast
State, rank3, STATE, 0.093986, 0.142266, 0.048280, 0.000000, MPI_Gather
State, rank3, STATE, 0.142415, 1.156689, 1.014274, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0124106, 1.15645, 1.14403, rank29
State, rank29, STATE, 0.012412, 0.012412, 0.000000, 0.000000, MPI_Comm_rank
State, rank29, STATE, 0.012412, 0.012413, 0.000001, 0.000000, MPI_Comm_size
State, rank29, STATE, 0.012460, 0.023624, 0.011164, 0.000000, MPI_Scatter
State, rank29, STATE, 0.023625, 0.068783, 0.045158, 0.000000, MPI_Bcast
State, rank29, STATE, 0.133478, 0.133606, 0.000129, 0.000000, MPI_Gather
State, rank29, STATE, 0.133855, 1.156445, 1.022590, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.011133, 1.1569, 1.14577, rank28
State, rank28, STATE, 0.011135, 0.011135, 0.000000, 0.000000, MPI_Comm_rank
State, rank28, STATE, 0.011136, 0.011137, 0.000001, 0.000000, MPI_Comm_size
State, rank28, STATE, 0.011208, 0.023398, 0.012190, 0.000000, MPI_Scatter
State, rank28, STATE, 0.023399, 0.069273, 0.045873, 0.000000, MPI_Bcast
State, rank28, STATE, 0.138297, 0.139119, 0.000822, 0.000000, MPI_Gather
State, rank28, STATE, 0.139287, 1.156903, 1.017616, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0131528, 1.15671, 1.14356, rank27
State, rank27, STATE, 0.013155, 0.013155, 0.000001, 0.000000, MPI_Comm_rank
State, rank27, STATE, 0.013156, 0.013157, 0.000001, 0.000000, MPI_Comm_size
State, rank27, STATE, 0.013227, 0.023165, 0.009938, 0.000000, MPI_Scatter
State, rank27, STATE, 0.023167, 0.071353, 0.048186, 0.000000, MPI_Bcast
State, rank27, STATE, 0.133773, 0.134085, 0.000312, 0.000000, MPI_Gather
State, rank27, STATE, 0.134505, 1.156713, 1.022207, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00715971, 1.1566, 1.14944, rank26
State, rank26, STATE, 0.007161, 0.007161, 0.000000, 0.000000, MPI_Comm_rank
State, rank26, STATE, 0.007161, 0.007162, 0.000001, 0.000000, MPI_Comm_size
State, rank26, STATE, 0.007209, 0.022904, 0.015695, 0.000000, MPI_Scatter
State, rank26, STATE, 0.022905, 0.069546, 0.046641, 0.000000, MPI_Bcast
State, rank26, STATE, 0.097303, 0.134485, 0.037182, 0.000000, MPI_Gather
State, rank26, STATE, 0.134615, 1.156603, 1.021988, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00613618, 1.15602, 1.14988, rank25
State, rank25, STATE, 0.006137, 0.006137, 0.000000, 0.000000, MPI_Comm_rank
State, rank25, STATE, 0.006138, 0.006139, 0.000001, 0.000000, MPI_Comm_size
State, rank25, STATE, 0.006175, 0.022729, 0.016554, 0.000000, MPI_Scatter
State, rank25, STATE, 0.022730, 0.068081, 0.045351, 0.000000, MPI_Bcast
State, rank25, STATE, 0.097533, 0.097623, 0.000090, 0.000000, MPI_Gather
State, rank25, STATE, 0.097766, 1.156016, 1.058250, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0102274, 1.15733, 1.1471, rank24
State, rank24, STATE, 0.010228, 0.010229, 0.000000, 0.000000, MPI_Comm_rank
State, rank24, STATE, 0.010229, 0.010230, 0.000001, 0.000000, MPI_Comm_size
State, rank24, STATE, 0.010270, 0.022596, 0.012326, 0.000000, MPI_Scatter
State, rank24, STATE, 0.022598, 0.070476, 0.047878, 0.000000, MPI_Bcast
State, rank24, STATE, 0.134428, 0.139436, 0.005008, 0.000000, MPI_Gather
State, rank24, STATE, 0.139571, 1.157327, 1.017757, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0106525, 1.15547, 1.14482, rank23
State, rank23, STATE, 0.010654, 0.010654, 0.000000, 0.000000, MPI_Comm_rank
State, rank23, STATE, 0.010655, 0.010656, 0.000001, 0.000000, MPI_Comm_size
State, rank23, STATE, 0.010726, 0.022355, 0.011629, 0.000000, MPI_Scatter
State, rank23, STATE, 0.022357, 0.069111, 0.046755, 0.000000, MPI_Bcast
State, rank23, STATE, 0.132523, 0.132855, 0.000332, 0.000000, MPI_Gather
State, rank23, STATE, 0.133048, 1.155473, 1.022425, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 1.15628, 1.15628, rank22
State, rank22, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank22, STATE, 0.000002, 0.000003, 0.000001, 0.000000, MPI_Comm_size
State, rank22, STATE, 0.000046, 0.022133, 0.022087, 0.000000, MPI_Scatter
State, rank22, STATE, 0.022135, 0.067691, 0.045556, 0.000000, MPI_Bcast
State, rank22, STATE, 0.130934, 0.133087, 0.002153, 0.000000, MPI_Gather
State, rank22, STATE, 0.133317, 1.156282, 1.022965, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0136173, 1.1552, 1.14158, rank21
State, rank21, STATE, 0.013619, 0.013620, 0.000001, 0.000000, MPI_Comm_rank
State, rank21, STATE, 0.013620, 0.013622, 0.000001, 0.000000, MPI_Comm_size
State, rank21, STATE, 0.013688, 0.021901, 0.008214, 0.000000, MPI_Scatter
State, rank21, STATE, 0.021903, 0.066740, 0.044837, 0.000000, MPI_Bcast
State, rank21, STATE, 0.133187, 0.133315, 0.000128, 0.000000, MPI_Gather
State, rank21, STATE, 0.133562, 1.155197, 1.021635, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00122094, 1.15607, 1.15485, rank20
State, rank20, STATE, 0.001222, 0.001222, 0.000000, 0.000000, MPI_Comm_rank
State, rank20, STATE, 0.001223, 0.001223, 0.000000, 0.000000, MPI_Comm_size
State, rank20, STATE, 0.001260, 0.021700, 0.020440, 0.000000, MPI_Scatter
State, rank20, STATE, 0.021702, 0.067868, 0.046166, 0.000000, MPI_Bcast
State, rank20, STATE, 0.144200, 0.144646, 0.000446, 0.000000, MPI_Gather
State, rank20, STATE, 0.144753, 1.156068, 1.011315, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00515437, 1.15646, 1.15131, rank2
State, rank2, STATE, 0.005156, 0.005157, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.005157, 0.005158, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.005226, 0.017741, 0.012515, 0.000000, MPI_Scatter
State, rank2, STATE, 0.017743, 0.064803, 0.047060, 0.000000, MPI_Bcast
State, rank2, STATE, 0.141989, 0.142403, 0.000415, 0.000000, MPI_Gather
State, rank2, STATE, 0.142539, 1.156463, 1.013924, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0140255, 1.15504, 1.14101, rank19
State, rank19, STATE, 0.014027, 0.014027, 0.000000, 0.000000, MPI_Comm_rank
State, rank19, STATE, 0.014027, 0.014028, 0.000001, 0.000000, MPI_Comm_size
State, rank19, STATE, 0.014071, 0.021415, 0.007344, 0.000000, MPI_Scatter
State, rank19, STATE, 0.021416, 0.069637, 0.048221, 0.000000, MPI_Bcast
State, rank19, STATE, 0.098908, 0.134970, 0.036062, 0.000000, MPI_Gather
State, rank19, STATE, 0.135113, 1.155039, 1.019926, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00760078, 1.15518, 1.14758, rank18
State, rank18, STATE, 0.007602, 0.007602, 0.000000, 0.000000, MPI_Comm_rank
State, rank18, STATE, 0.007602, 0.007603, 0.000000, 0.000000, MPI_Comm_size
State, rank18, STATE, 0.007643, 0.021289, 0.013646, 0.000000, MPI_Scatter
State, rank18, STATE, 0.021290, 0.069149, 0.047860, 0.000000, MPI_Bcast
State, rank18, STATE, 0.134739, 0.135094, 0.000355, 0.000000, MPI_Gather
State, rank18, STATE, 0.135210, 1.155185, 1.019975, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00804448, 1.15684, 1.1488, rank17
State, rank17, STATE, 0.008046, 0.008047, 0.000001, 0.000000, MPI_Comm_rank
State, rank17, STATE, 0.008047, 0.008049, 0.000001, 0.000000, MPI_Comm_size
State, rank17, STATE, 0.008128, 0.021065, 0.012937, 0.000000, MPI_Scatter
State, rank17, STATE, 0.021066, 0.068349, 0.047283, 0.000000, MPI_Bcast
State, rank17, STATE, 0.139845, 0.139928, 0.000083, 0.000000, MPI_Gather
State, rank17, STATE, 0.140056, 1.156840, 1.016784, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00663876, 1.15692, 1.15028, rank16
State, rank16, STATE, 0.006640, 0.006640, 0.000000, 0.000000, MPI_Comm_rank
State, rank16, STATE, 0.006641, 0.006642, 0.000001, 0.000000, MPI_Comm_size
State, rank16, STATE, 0.006712, 0.020864, 0.014152, 0.000000, MPI_Scatter
State, rank16, STATE, 0.020865, 0.069061, 0.048196, 0.000000, MPI_Bcast
State, rank16, STATE, 0.142906, 0.145645, 0.002739, 0.000000, MPI_Gather
State, rank16, STATE, 0.145753, 1.156918, 1.011165, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000442028, 1.15692, 1.15648, rank15
State, rank15, STATE, 0.000443, 0.000444, 0.000000, 0.000000, MPI_Comm_rank
State, rank15, STATE, 0.000444, 0.000446, 0.000001, 0.000000, MPI_Comm_size
State, rank15, STATE, 0.000483, 0.020590, 0.020108, 0.000000, MPI_Scatter
State, rank15, STATE, 0.020591, 0.066532, 0.045940, 0.000000, MPI_Bcast
State, rank15, STATE, 0.138773, 0.139074, 0.000301, 0.000000, MPI_Gather
State, rank15, STATE, 0.139244, 1.156918, 1.017673, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00173521, 1.1567, 1.15497, rank14
State, rank14, STATE, 0.001736, 0.001736, 0.000000, 0.000000, MPI_Comm_rank
State, rank14, STATE, 0.001737, 0.001737, 0.000000, 0.000000, MPI_Comm_size
State, rank14, STATE, 0.001778, 0.020311, 0.018533, 0.000000, MPI_Scatter
State, rank14, STATE, 0.020312, 0.065115, 0.044803, 0.000000, MPI_Bcast
State, rank14, STATE, 0.094927, 0.139203, 0.044276, 0.000000, MPI_Gather
State, rank14, STATE, 0.139320, 1.156705, 1.017385, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000833273, 1.15615, 1.15532, rank13
State, rank13, STATE, 0.000834, 0.000834, 0.000000, 0.000000, MPI_Comm_rank
State, rank13, STATE, 0.000835, 0.000835, 0.000001, 0.000000, MPI_Comm_size
State, rank13, STATE, 0.000872, 0.020179, 0.019306, 0.000000, MPI_Scatter
State, rank13, STATE, 0.020180, 0.064774, 0.044594, 0.000000, MPI_Bcast
State, rank13, STATE, 0.135627, 0.135719, 0.000092, 0.000000, MPI_Gather
State, rank13, STATE, 0.135907, 1.156154, 1.020248, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00937986, 1.15645, 1.14707, rank12
State, rank12, STATE, 0.009381, 0.009381, 0.000000, 0.000000, MPI_Comm_rank
State, rank12, STATE, 0.009382, 0.009382, 0.000000, 0.000000, MPI_Comm_size
State, rank12, STATE, 0.009431, 0.019898, 0.010467, 0.000000, MPI_Scatter
State, rank12, STATE, 0.019899, 0.065171, 0.045272, 0.000000, MPI_Bcast
State, rank12, STATE, 0.095069, 0.141685, 0.046616, 0.000000, MPI_Gather
State, rank12, STATE, 0.141808, 1.156445, 1.014637, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.011591, 1.15672, 1.14513, rank11
State, rank11, STATE, 0.011592, 0.011592, 0.000000, 0.000000, MPI_Comm_rank
State, rank11, STATE, 0.011593, 0.011593, 0.000000, 0.000000, MPI_Comm_size
State, rank11, STATE, 0.011636, 0.019758, 0.008122, 0.000000, MPI_Scatter
State, rank11, STATE, 0.019759, 0.067358, 0.047599, 0.000000, MPI_Bcast
State, rank11, STATE, 0.130505, 0.141888, 0.011383, 0.000000, MPI_Gather
State, rank11, STATE, 0.142015, 1.156724, 1.014709, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00389504, 1.15642, 1.15252, rank10
State, rank10, STATE, 0.003896, 0.003896, 0.000000, 0.000000, MPI_Comm_rank
State, rank10, STATE, 0.003897, 0.003897, 0.000000, 0.000000, MPI_Comm_size
State, rank10, STATE, 0.003938, 0.019534, 0.015596, 0.000000, MPI_Scatter
