Container, 0, 0, 0, 2.78802, 2.78802, 0
Container, 0, ROOT, 0, 2.78802, 2.78802, root
Container, root, PROCESS, 0.0148268, 2.78747, 2.77264, rank9
State, rank9, STATE, 0.014829, 0.014829, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.014830, 0.014831, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.014914, 0.073129, 0.058215, 0.000000, MPI_Recv
State, rank9, STATE, 0.073131, 0.284073, 0.210942, 0.000000, MPI_Bcast
State, rank9, STATE, 1.387942, 1.388310, 0.000368, 0.000000, MPI_Send
State, rank9, STATE, 1.388551, 2.787466, 1.398915, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.004004, 2.78434, 2.78033, rank8
State, rank8, STATE, 0.004005, 0.004005, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.004006, 0.004006, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.004057, 0.072682, 0.068625, 0.000000, MPI_Recv
State, rank8, STATE, 0.072685, 0.292842, 0.220157, 0.000000, MPI_Bcast
State, rank8, STATE, 1.241093, 1.241383, 0.000289, 0.000000, MPI_Send
State, rank8, STATE, 1.241630, 2.784338, 1.542708, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0398033, 2.78757, 2.74777, rank7
State, rank7, STATE, 0.039805, 0.039806, 0.000001, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.039806, 0.039807, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.039877, 0.072232, 0.032354, 0.000000, MPI_Recv
State, rank7, STATE, 0.072233, 0.246725, 0.174492, 0.000000, MPI_Bcast
State, rank7, STATE, 1.213109, 1.213369, 0.000260, 0.000000, MPI_Send
State, rank7, STATE, 1.213566, 2.787575, 1.574009, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0178525, 2.78568, 2.76783, rank63
State, rank63, STATE, 0.017854, 0.017854, 0.000000, 0.000000, MPI_Comm_rank
State, rank63, STATE, 0.017854, 0.017855, 0.000000, 0.000000, MPI_Comm_size
State, rank63, STATE, 0.017901, 0.197248, 0.179347, 0.000000, MPI_Recv
State, rank63, STATE, 0.197250, 0.618823, 0.421573, 0.000000, MPI_Bcast
State, rank63, STATE, 1.743764, 1.766653, 0.022888, 0.000000, MPI_Send
State, rank63, STATE, 1.766841, 2.785678, 1.018837, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0415089, 2.78542, 2.74391, rank62
State, rank62, STATE, 0.041510, 0.041511, 0.000001, 0.000000, MPI_Comm_rank
State, rank62, STATE, 0.041511, 0.041512, 0.000001, 0.000000, MPI_Comm_size
State, rank62, STATE, 0.041563, 0.194626, 0.153063, 0.000000, MPI_Recv
State, rank62, STATE, 0.194627, 0.610673, 0.416046, 0.000000, MPI_Bcast
State, rank62, STATE, 1.609296, 1.651289, 0.041993, 0.000000, MPI_Send
State, rank62, STATE, 1.651531, 2.785422, 1.133891, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0255744, 2.78473, 2.75916, rank61
State, rank61, STATE, 0.025576, 0.025576, 0.000000, 0.000000, MPI_Comm_rank
State, rank61, STATE, 0.025576, 0.025577, 0.000000, 0.000000, MPI_Comm_size
State, rank61, STATE, 0.025629, 0.192180, 0.166552, 0.000000, MPI_Recv
State, rank61, STATE, 0.192182, 0.612032, 0.419851, 0.000000, MPI_Bcast
State, rank61, STATE, 1.619874, 1.663314, 0.043440, 0.000000, MPI_Send
State, rank61, STATE, 1.663554, 2.784735, 1.121181, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0454683, 2.78401, 2.73855, rank60
State, rank60, STATE, 0.045469, 0.045470, 0.000000, 0.000000, MPI_Comm_rank
State, rank60, STATE, 0.045470, 0.045470, 0.000000, 0.000000, MPI_Comm_size
State, rank60, STATE, 0.045524, 0.189788, 0.144264, 0.000000, MPI_Recv
State, rank60, STATE, 0.189790, 0.618325, 0.428535, 0.000000, MPI_Bcast
State, rank60, STATE, 1.719379, 1.760566, 0.041187, 0.000000, MPI_Send
State, rank60, STATE, 1.760786, 2.784014, 1.023228, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00750232, 2.78589, 2.77839, rank6
State, rank6, STATE, 0.007503, 0.007504, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.007504, 0.007504, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.007555, 0.071874, 0.064319, 0.000000, MPI_Recv
State, rank6, STATE, 0.071877, 0.240665, 0.168789, 0.000000, MPI_Bcast
State, rank6, STATE, 1.148104, 1.148463, 0.000358, 0.000000, MPI_Send
State, rank6, STATE, 1.148676, 2.785892, 1.637216, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.04936, 2.78338, 2.73402, rank59
State, rank59, STATE, 0.049361, 0.049361, 0.000000, 0.000000, MPI_Comm_rank
State, rank59, STATE, 0.049361, 0.049362, 0.000001, 0.000000, MPI_Comm_size
State, rank59, STATE, 0.049424, 0.187292, 0.137868, 0.000000, MPI_Recv
State, rank59, STATE, 0.187293, 0.602050, 0.414756, 0.000000, MPI_Bcast
State, rank59, STATE, 1.588856, 1.631286, 0.042430, 0.000000, MPI_Send
State, rank59, STATE, 1.631672, 2.783379, 1.151707, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00898981, 2.78388, 2.77489, rank58
State, rank58, STATE, 0.008991, 0.008991, 0.000000, 0.000000, MPI_Comm_rank
State, rank58, STATE, 0.008992, 0.008993, 0.000001, 0.000000, MPI_Comm_size
State, rank58, STATE, 0.009065, 0.184898, 0.175833, 0.000000, MPI_Recv
State, rank58, STATE, 0.184900, 0.600614, 0.415714, 0.000000, MPI_Bcast
State, rank58, STATE, 1.528360, 1.571286, 0.042926, 0.000000, MPI_Send
State, rank58, STATE, 1.571547, 2.783879, 1.212332, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0514662, 2.78439, 2.73293, rank57
State, rank57, STATE, 0.051468, 0.051469, 0.000001, 0.000000, MPI_Comm_rank
State, rank57, STATE, 0.051470, 0.051471, 0.000001, 0.000000, MPI_Comm_size
State, rank57, STATE, 0.051550, 0.182366, 0.130817, 0.000000, MPI_Recv
State, rank57, STATE, 0.182368, 0.602613, 0.420246, 0.000000, MPI_Bcast
State, rank57, STATE, 1.608313, 1.651268, 0.042955, 0.000000, MPI_Send
State, rank57, STATE, 1.651556, 2.784392, 1.132835, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0410118, 2.78504, 2.74403, rank56
State, rank56, STATE, 0.041013, 0.041013, 0.000000, 0.000000, MPI_Comm_rank
State, rank56, STATE, 0.041013, 0.041014, 0.000001, 0.000000, MPI_Comm_size
State, rank56, STATE, 0.041062, 0.179895, 0.138833, 0.000000, MPI_Recv
State, rank56, STATE, 0.179896, 0.601840, 0.421945, 0.000000, MPI_Bcast
State, rank56, STATE, 1.200161, 1.243598, 0.043437, 0.000000, MPI_Send
State, rank56, STATE, 1.243827, 2.785041, 1.541214, 0.000000, MPI_Finalize
