Container, 0, 0, 0, 21.0711, 21.0711, 0
Container, 0, ROOT, 0, 21.0711, 21.0711, root
Container, root, PROCESS, 0, 21.0709, 21.0709, rank1
State, rank1, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000003, 0.000004, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000057, 0.048810, 0.048753, 0.000000, MPI_Scatter
State, rank1, STATE, 0.048811, 0.058501, 0.009689, 0.000000, MPI_Bcast
State, rank1, STATE, 20.020032, 20.058185, 0.038153, 0.000000, MPI_Gather
State, rank1, STATE, 20.058644, 21.070879, 1.012235, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000625372, 21.0711, 21.0705, rank0
State, rank0, STATE, 0.000626, 0.000627, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000627, 0.000628, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.036417, 0.036424, 0.000007, 0.000000, MPI_Wtime
State, rank0, STATE, 0.036432, 0.047680, 0.011247, 0.000000, MPI_Scatter
State, rank0, STATE, 0.047690, 0.057833, 0.010143, 0.000000, MPI_Bcast
State, rank0, STATE, 20.054238, 20.061872, 0.007634, 0.000000, MPI_Gather
State, rank0, STATE, 20.061872, 20.061873, 0.000001, 0.000000, MPI_Wtime
State, rank0, STATE, 20.062873, 21.071103, 1.008230, 0.000000, MPI_Finalize
