Container, 0, 0, 0, 1.1488, 1.1488, 0
Container, 0, ROOT, 0, 1.1488, 1.1488, root
Container, root, PROCESS, 0.00388718, 1.14777, 1.14388, rank9
State, rank9, STATE, 0.003888, 0.003888, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.003888, 0.003889, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.003935, 0.010535, 0.006600, 0.000000, MPI_Recv
State, rank9, STATE, 0.010536, 0.018408, 0.007871, 0.000000, MPI_Bcast
State, rank9, STATE, 0.073342, 0.073438, 0.000097, 0.000000, MPI_Send
State, rank9, STATE, 0.073632, 1.147770, 1.074138, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00649238, 1.14778, 1.14129, rank8
State, rank8, STATE, 0.006494, 0.006495, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.006495, 0.006497, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.006583, 0.010427, 0.003843, 0.000000, MPI_Recv
State, rank8, STATE, 0.010428, 0.019013, 0.008585, 0.000000, MPI_Bcast
State, rank8, STATE, 0.096837, 0.096944, 0.000107, 0.000000, MPI_Send
State, rank8, STATE, 0.097083, 1.147784, 1.050702, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00737238, 1.14807, 1.1407, rank7
State, rank7, STATE, 0.007374, 0.007374, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.007375, 0.007376, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.007466, 0.010173, 0.002707, 0.000000, MPI_Recv
State, rank7, STATE, 0.010175, 0.019751, 0.009576, 0.000000, MPI_Bcast
State, rank7, STATE, 0.138062, 0.138158, 0.000095, 0.000000, MPI_Send
State, rank7, STATE, 0.138377, 1.148069, 1.009692, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0025208, 1.1488, 1.14628, rank6
State, rank6, STATE, 0.002522, 0.002522, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.002522, 0.002523, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.002579, 0.009951, 0.007372, 0.000000, MPI_Recv
State, rank6, STATE, 0.009952, 0.019203, 0.009251, 0.000000, MPI_Bcast
State, rank6, STATE, 0.137985, 0.138083, 0.000098, 0.000000, MPI_Send
State, rank6, STATE, 0.138275, 1.148802, 1.010527, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00501752, 1.14783, 1.14281, rank5
State, rank5, STATE, 0.005019, 0.005019, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.005019, 0.005020, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.005065, 0.009624, 0.004560, 0.000000, MPI_Recv
State, rank5, STATE, 0.009625, 0.018652, 0.009027, 0.000000, MPI_Bcast
State, rank5, STATE, 0.074849, 0.074934, 0.000085, 0.000000, MPI_Send
State, rank5, STATE, 0.075080, 1.147827, 1.072746, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00206923, 1.14868, 1.14661, rank4
State, rank4, STATE, 0.002071, 0.002071, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.002072, 0.002073, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.002157, 0.009502, 0.007345, 0.000000, MPI_Recv
State, rank4, STATE, 0.009504, 0.018839, 0.009336, 0.000000, MPI_Bcast
State, rank4, STATE, 0.136067, 0.136185, 0.000117, 0.000000, MPI_Send
State, rank4, STATE, 0.136391, 1.148676, 1.012284, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00690007, 1.14873, 1.14183, rank3
State, rank3, STATE, 0.006902, 0.006902, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.006903, 0.006904, 0.000001, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.006998, 0.009248, 0.002250, 0.000000, MPI_Recv
State, rank3, STATE, 0.009249, 0.019035, 0.009787, 0.000000, MPI_Bcast
State, rank3, STATE, 0.139256, 0.139358, 0.000103, 0.000000, MPI_Send
State, rank3, STATE, 0.139502, 1.148732, 1.009230, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00159597, 1.1479, 1.14631, rank2
State, rank2, STATE, 0.001597, 0.001597, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.001597, 0.001598, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.001639, 0.008987, 0.007348, 0.000000, MPI_Recv
State, rank2, STATE, 0.008989, 0.019675, 0.010686, 0.000000, MPI_Bcast
State, rank2, STATE, 0.098634, 0.098744, 0.000110, 0.000000, MPI_Send
State, rank2, STATE, 0.098907, 1.147904, 1.048997, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00562787, 1.14742, 1.14179, rank15
State, rank15, STATE, 0.005630, 0.005631, 0.000001, 0.000000, MPI_Comm_rank
State, rank15, STATE, 0.005631, 0.005633, 0.000002, 0.000000, MPI_Comm_size
State, rank15, STATE, 0.005737, 0.012170, 0.006432, 0.000000, MPI_Recv
State, rank15, STATE, 0.012171, 0.020124, 0.007953, 0.000000, MPI_Bcast
State, rank15, STATE, 0.099499, 0.099565, 0.000066, 0.000000, MPI_Send
State, rank15, STATE, 0.099672, 1.147419, 1.047747, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 1.14868, 1.14868, rank14
State, rank14, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank14, STATE, 0.000003, 0.000004, 0.000001, 0.000000, MPI_Comm_size
State, rank14, STATE, 0.000053, 0.011806, 0.011752, 0.000000, MPI_Recv
State, rank14, STATE, 0.011807, 0.019281, 0.007474, 0.000000, MPI_Bcast
State, rank14, STATE, 0.136806, 0.136888, 0.000081, 0.000000, MPI_Send
State, rank14, STATE, 0.137026, 1.148676, 1.011649, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00111246, 1.14735, 1.14623, rank13
State, rank13, STATE, 0.001114, 0.001114, 0.000000, 0.000000, MPI_Comm_rank
State, rank13, STATE, 0.001114, 0.001115, 0.000001, 0.000000, MPI_Comm_size
State, rank13, STATE, 0.001182, 0.011480, 0.010298, 0.000000, MPI_Recv
State, rank13, STATE, 0.011481, 0.018823, 0.007342, 0.000000, MPI_Bcast
State, rank13, STATE, 0.070879, 0.070951, 0.000072, 0.000000, MPI_Send
State, rank13, STATE, 0.071062, 1.147346, 1.076284, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000507593, 1.14732, 1.14681, rank12
State, rank12, STATE, 0.000510, 0.000510, 0.000000, 0.000000, MPI_Comm_rank
State, rank12, STATE, 0.000510, 0.000512, 0.000001, 0.000000, MPI_Comm_size
State, rank12, STATE, 0.000567, 0.011256, 0.010689, 0.000000, MPI_Recv
State, rank12, STATE, 0.011257, 0.019023, 0.007766, 0.000000, MPI_Bcast
State, rank12, STATE, 0.071274, 0.071334, 0.000059, 0.000000, MPI_Send
State, rank12, STATE, 0.071450, 1.147321, 1.075871, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00598526, 1.14778, 1.14179, rank11
State, rank11, STATE, 0.005987, 0.005987, 0.000000, 0.000000, MPI_Comm_rank
State, rank11, STATE, 0.005987, 0.005992, 0.000005, 0.000000, MPI_Comm_size
State, rank11, STATE, 0.006036, 0.011005, 0.004969, 0.000000, MPI_Recv
State, rank11, STATE, 0.011006, 0.019299, 0.008293, 0.000000, MPI_Bcast
State, rank11, STATE, 0.074418, 0.074504, 0.000086, 0.000000, MPI_Send
State, rank11, STATE, 0.074645, 1.147779, 1.073134, 0.000000, MPI_Finalize
