Container, 0, 0, 0, 1.1672, 1.1672, 0
Container, 0, ROOT, 0, 1.1672, 1.1672, root
Container, root, PROCESS, 0.0011692, 1.16716, 1.16599, rank5
State, rank5, STATE, 0.001170, 0.001170, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.001171, 0.001171, 0.000000, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.001226, 0.010317, 0.009091, 0.000000, MPI_Recv
State, rank5, STATE, 0.010318, 0.019886, 0.009569, 0.000000, MPI_Bcast
State, rank5, STATE, 0.160772, 0.160932, 0.000160, 0.000000, MPI_Send
State, rank5, STATE, 0.161049, 1.167162, 1.006113, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00233936, 1.16716, 1.16482, rank4
State, rank4, STATE, 0.002340, 0.002341, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.002341, 0.002342, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.002385, 0.009907, 0.007522, 0.000000, MPI_Recv
State, rank4, STATE, 0.009907, 0.019008, 0.009101, 0.000000, MPI_Bcast
State, rank4, STATE, 0.159595, 0.159723, 0.000128, 0.000000, MPI_Send
State, rank4, STATE, 0.159870, 1.167159, 1.007289, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 1.16716, 1.16716, rank3
State, rank3, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.000003, 0.000004, 0.000001, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.000051, 0.009497, 0.009447, 0.000000, MPI_Recv
State, rank3, STATE, 0.009498, 0.017121, 0.007623, 0.000000, MPI_Bcast
State, rank3, STATE, 0.159260, 0.159394, 0.000135, 0.000000, MPI_Send
State, rank3, STATE, 0.159523, 1.167165, 1.007642, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00284672, 1.16716, 1.16431, rank2
State, rank2, STATE, 0.002848, 0.002848, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.002848, 0.002849, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.002900, 0.009066, 0.006167, 0.000000, MPI_Recv
State, rank2, STATE, 0.009067, 0.015210, 0.006143, 0.000000, MPI_Bcast
State, rank2, STATE, 0.156160, 0.156298, 0.000139, 0.000000, MPI_Send
State, rank2, STATE, 0.156426, 1.167160, 1.010734, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00058198, 1.16716, 1.16658, rank1
State, rank1, STATE, 0.000583, 0.000583, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000584, 0.000585, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000633, 0.008380, 0.007747, 0.000000, MPI_Recv
State, rank1, STATE, 0.008381, 0.013314, 0.004933, 0.000000, MPI_Bcast
State, rank1, STATE, 0.155579, 0.155704, 0.000125, 0.000000, MPI_Send
State, rank1, STATE, 0.155846, 1.167159, 1.011313, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00176907, 1.1672, 1.16543, rank0
State, rank0, STATE, 0.001771, 0.001771, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.001771, 0.001773, 0.000002, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.007214, 0.007243, 0.000029, 0.000000, MPI_Wtime
State, rank0, STATE, 0.007263, 0.008134, 0.000870, 0.000000, MPI_Send
State, rank0, STATE, 0.008134, 0.008819, 0.000684, 0.000000, MPI_Send
State, rank0, STATE, 0.008820, 0.009255, 0.000436, 0.000000, MPI_Send
State, rank0, STATE, 0.009256, 0.009664, 0.000408, 0.000000, MPI_Send
State, rank0, STATE, 0.009665, 0.010076, 0.000412, 0.000000, MPI_Send
State, rank0, STATE, 0.010519, 0.011817, 0.001298, 0.000000, MPI_Bcast
State, rank0, STATE, 0.146430, 0.155788, 0.009358, 0.000000, MPI_Recv
State, rank0, STATE, 0.155789, 0.156374, 0.000586, 0.000000, MPI_Recv
State, rank0, STATE, 0.156375, 0.159472, 0.003097, 0.000000, MPI_Recv
State, rank0, STATE, 0.159472, 0.159799, 0.000328, 0.000000, MPI_Recv
State, rank0, STATE, 0.159799, 0.161008, 0.001209, 0.000000, MPI_Recv
State, rank0, STATE, 0.161008, 0.161009, 0.000000, 0.000000, MPI_Wtime
State, rank0, STATE, 0.161466, 1.167204, 1.005738, 0.000000, MPI_Finalize
