Container, 0, 0, 0, 13.0101, 13.0101, 0
Container, 0, ROOT, 0, 13.0101, 13.0101, root
Container, root, PROCESS, 0, 13.0101, 13.0101, rank2
State, rank2, STATE, 0.000001, 0.000001, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.000002, 0.000004, 0.000002, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.000063, 0.000485, 0.000422, 0.000000, MPI_Irecv
State, rank2, STATE, 0.000501, 0.052693, 0.052192, 0.000000, MPI_Wait
State, rank2, STATE, 0.053760, 0.066052, 0.012293, 0.000000, MPI_Wait
State, rank2, STATE, 6.284941, 6.286525, 0.001584, 0.000000, MPI_Isend
State, rank2, STATE, 6.286565, 12.000649, 5.714084, 0.000000, MPI_Wait
State, rank2, STATE, 12.001159, 13.010101, 1.008942, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00109243, 13.0096, 13.0085, rank1
State, rank1, STATE, 0.001094, 0.001094, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.001094, 0.001101, 0.000007, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.001159, 0.001613, 0.000454, 0.000000, MPI_Irecv
State, rank1, STATE, 0.001627, 0.040640, 0.039013, 0.000000, MPI_Wait
State, rank1, STATE, 0.040688, 0.065714, 0.025027, 0.000000, MPI_Wait
State, rank1, STATE, 11.928208, 11.930049, 0.001841, 0.000000, MPI_Isend
State, rank1, STATE, 11.930068, 11.998238, 0.068170, 0.000000, MPI_Wait
State, rank1, STATE, 11.998737, 13.009608, 1.010870, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000565529, 13.01, 13.0094, rank0
State, rank0, STATE, 0.000567, 0.000568, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000568, 0.000570, 0.000002, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.035564, 0.035578, 0.000013, 0.000000, MPI_Wtime
State, rank0, STATE, 0.035585, 0.039055, 0.003470, 0.000000, MPI_Isend
State, rank0, STATE, 0.039081, 0.041972, 0.002892, 0.000000, MPI_Isend
State, rank0, STATE, 0.051912, 0.065638, 0.013726, 0.000000, MPI_Wait
State, rank0, STATE, 11.996751, 11.996862, 0.000111, 0.000000, MPI_Irecv
State, rank0, STATE, 11.996875, 11.998800, 0.001925, 0.000000, MPI_Wait
State, rank0, STATE, 11.998800, 11.998856, 0.000056, 0.000000, MPI_Irecv
State, rank0, STATE, 11.998860, 12.001543, 0.002682, 0.000000, MPI_Wait
State, rank0, STATE, 12.001543, 12.001552, 0.000009, 0.000000, MPI_Wtime
State, rank0, STATE, 12.002609, 13.009996, 1.007387, 0.000000, MPI_Finalize
