Container, 0, 0, 0, 2.83081, 2.83081, 0
Container, 0, ROOT, 0, 2.83081, 2.83081, root
Container, root, PROCESS, 0.00122404, 2.83066, 2.82943, rank2
State, rank2, STATE, 0.001225, 0.001225, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.001226, 0.001227, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.001276, 0.023924, 0.022648, 0.000000, MPI_Scatter
State, rank2, STATE, 0.023925, 0.033432, 0.009506, 0.000000, MPI_Bcast
State, rank2, STATE, 1.813728, 1.820142, 0.006413, 0.000000, MPI_Gather
State, rank2, STATE, 1.820659, 2.830655, 1.009996, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000640869, 2.83072, 2.83008, rank1
State, rank1, STATE, 0.000643, 0.000644, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000645, 0.000647, 0.000002, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000731, 0.022289, 0.021557, 0.000000, MPI_Scatter
State, rank1, STATE, 0.022290, 0.029231, 0.006941, 0.000000, MPI_Bcast
State, rank1, STATE, 1.816857, 1.818499, 0.001642, 0.000000, MPI_Gather
State, rank1, STATE, 1.818907, 2.830717, 1.011810, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 2.83081, 2.83081, rank0
State, rank0, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000003, 0.000004, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.016827, 0.016838, 0.000011, 0.000000, MPI_Wtime
State, rank0, STATE, 0.016845, 0.023064, 0.006219, 0.000000, MPI_Scatter
State, rank0, STATE, 0.023068, 0.032925, 0.009857, 0.000000, MPI_Bcast
State, rank0, STATE, 1.799712, 1.821683, 0.021971, 0.000000, MPI_Gather
State, rank0, STATE, 1.821683, 1.821684, 0.000001, 0.000000, MPI_Wtime
State, rank0, STATE, 1.822428, 2.830811, 1.008383, 0.000000, MPI_Finalize
