Container, 0, 0, 0, 4.58329, 4.58329, 0
Container, 0, ROOT, 0, 4.58329, 4.58329, root
Container, root, PROCESS, 0, 4.58257, 4.58257, rank9
State, rank9, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.000002, 0.000003, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.000054, 0.000369, 0.000315, 0.000000, MPI_Irecv
State, rank9, STATE, 0.000383, 0.069349, 0.068966, 0.000000, MPI_Wait
State, rank9, STATE, 0.069365, 0.119559, 0.050194, 0.000000, MPI_Wait
State, rank9, STATE, 3.436600, 3.437510, 0.000911, 0.000000, MPI_Isend
State, rank9, STATE, 3.437533, 3.437545, 0.000012, 0.000000, MPI_Wait
State, rank9, STATE, 3.437941, 4.582572, 1.144631, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00121117, 4.58253, 4.58132, rank8
State, rank8, STATE, 0.001212, 0.001212, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.001213, 0.001213, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.001259, 0.001612, 0.000353, 0.000000, MPI_Irecv
State, rank8, STATE, 0.001621, 0.067962, 0.066341, 0.000000, MPI_Wait
State, rank8, STATE, 0.067978, 0.090241, 0.022264, 0.000000, MPI_Wait
State, rank8, STATE, 3.285687, 3.286641, 0.000954, 0.000000, MPI_Isend
State, rank8, STATE, 3.286662, 3.286675, 0.000012, 0.000000, MPI_Wait
State, rank8, STATE, 3.287068, 4.582526, 1.295459, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00167203, 4.58244, 4.58077, rank7
State, rank7, STATE, 0.001673, 0.001673, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.001673, 0.001674, 0.000000, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.001728, 0.002061, 0.000334, 0.000000, MPI_Irecv
State, rank7, STATE, 0.002070, 0.066844, 0.064774, 0.000000, MPI_Wait
State, rank7, STATE, 0.066876, 0.121955, 0.055079, 0.000000, MPI_Wait
State, rank7, STATE, 3.453049, 3.454064, 0.001016, 0.000000, MPI_Isend
State, rank7, STATE, 3.454102, 3.454131, 0.000029, 0.000000, MPI_Wait
State, rank7, STATE, 3.454485, 4.582444, 1.127958, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00305963, 4.58244, 4.57938, rank6
State, rank6, STATE, 0.003061, 0.003061, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.003061, 0.003062, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.003111, 0.003467, 0.000356, 0.000000, MPI_Irecv
State, rank6, STATE, 0.003475, 0.065571, 0.062095, 0.000000, MPI_Wait
State, rank6, STATE, 0.065588, 0.108751, 0.043163, 0.000000, MPI_Wait
State, rank6, STATE, 3.318182, 3.319179, 0.000997, 0.000000, MPI_Isend
State, rank6, STATE, 3.319217, 3.319237, 0.000020, 0.000000, MPI_Wait
State, rank6, STATE, 3.319591, 4.582440, 1.262849, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00400734, 4.58322, 4.57921, rank5
State, rank5, STATE, 0.004009, 0.004009, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.004010, 0.004011, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.004084, 0.004644, 0.000560, 0.000000, MPI_Irecv
State, rank5, STATE, 0.004658, 0.064477, 0.059819, 0.000000, MPI_Wait
State, rank5, STATE, 0.064510, 0.110986, 0.046476, 0.000000, MPI_Wait
State, rank5, STATE, 3.279660, 3.280659, 0.000999, 0.000000, MPI_Isend
State, rank5, STATE, 3.280699, 3.280719, 0.000019, 0.000000, MPI_Wait
State, rank5, STATE, 3.281057, 4.583218, 1.302161, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00210166, 4.58238, 4.58028, rank4
State, rank4, STATE, 0.002103, 0.002103, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.002103, 0.002108, 0.000005, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.002152, 0.002491, 0.000339, 0.000000, MPI_Irecv
State, rank4, STATE, 0.002499, 0.064111, 0.061611, 0.000000, MPI_Wait
State, rank4, STATE, 0.064150, 0.100244, 0.036093, 0.000000, MPI_Wait
State, rank4, STATE, 3.286646, 3.287600, 0.000954, 0.000000, MPI_Isend
State, rank4, STATE, 3.287619, 3.287645, 0.000026, 0.000000, MPI_Wait
State, rank4, STATE, 3.287978, 4.582380, 1.294402, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00260091, 4.58254, 4.57994, rank3
State, rank3, STATE, 0.002602, 0.002602, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.002603, 0.002603, 0.000001, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.002648, 0.002995, 0.000347, 0.000000, MPI_Irecv
State, rank3, STATE, 0.003003, 0.062437, 0.059434, 0.000000, MPI_Wait
State, rank3, STATE, 0.062471, 0.123124, 0.060653, 0.000000, MPI_Wait
State, rank3, STATE, 3.418206, 3.419399, 0.001194, 0.000000, MPI_Isend
State, rank3, STATE, 3.419442, 3.419467, 0.000025, 0.000000, MPI_Wait
State, rank3, STATE, 3.420011, 4.582541, 1.162530, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000821114, 4.58317, 4.58235, rank2
State, rank2, STATE, 0.000822, 0.000822, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.000823, 0.000823, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.000868, 0.001206, 0.000337, 0.000000, MPI_Irecv
State, rank2, STATE, 0.001214, 0.061333, 0.060119, 0.000000, MPI_Wait
State, rank2, STATE, 0.061364, 0.113401, 0.052037, 0.000000, MPI_Wait
State, rank2, STATE, 3.291528, 3.292476, 0.000948, 0.000000, MPI_Isend
State, rank2, STATE, 3.292513, 3.292529, 0.000016, 0.000000, MPI_Wait
State, rank2, STATE, 3.292818, 4.583172, 1.290354, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00483537, 4.58329, 4.57845, rank11
State, rank11, STATE, 0.004836, 0.004837, 0.000000, 0.000000, MPI_Comm_rank
State, rank11, STATE, 0.004837, 0.004838, 0.000001, 0.000000, MPI_Comm_size
State, rank11, STATE, 0.004883, 0.005228, 0.000345, 0.000000, MPI_Irecv
State, rank11, STATE, 0.005237, 0.071629, 0.066392, 0.000000, MPI_Wait
State, rank11, STATE, 0.071659, 0.123766, 0.052107, 0.000000, MPI_Wait
State, rank11, STATE, 3.327632, 3.328585, 0.000953, 0.000000, MPI_Isend
State, rank11, STATE, 3.328621, 3.328673, 0.000052, 0.000000, MPI_Wait
State, rank11, STATE, 3.328964, 4.583289, 1.254325, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00445056, 4.58318, 4.57873, rank10
State, rank10, STATE, 0.004452, 0.004452, 0.000000, 0.000000, MPI_Comm_rank
State, rank10, STATE, 0.004452, 0.004453, 0.000001, 0.000000, MPI_Comm_size
State, rank10, STATE, 0.004503, 0.004845, 0.000343, 0.000000, MPI_Irecv
State, rank10, STATE, 0.004853, 0.070560, 0.065707, 0.000000, MPI_Wait
State, rank10, STATE, 0.070590, 0.113904, 0.043314, 0.000000, MPI_Wait
State, rank10, STATE, 3.312364, 3.313286, 0.000922, 0.000000, MPI_Isend
State, rank10, STATE, 3.313324, 3.313383, 0.000060, 0.000000, MPI_Wait
State, rank10, STATE, 3.313809, 4.583184, 1.269375, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000398159, 4.58217, 4.58177, rank1
State, rank1, STATE, 0.000400, 0.000400, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000400, 0.000406, 0.000005, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000454, 0.000793, 0.000339, 0.000000, MPI_Irecv
State, rank1, STATE, 0.000803, 0.060204, 0.059401, 0.000000, MPI_Wait
State, rank1, STATE, 0.060245, 0.119581, 0.059336, 0.000000, MPI_Wait
State, rank1, STATE, 3.288307, 3.289226, 0.000919, 0.000000, MPI_Isend
State, rank1, STATE, 3.289248, 3.289261, 0.000013, 0.000000, MPI_Wait
State, rank1, STATE, 3.289567, 4.582169, 1.292602, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00352335, 4.58309, 4.57956, rank0
State, rank0, STATE, 0.003525, 0.003525, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.003526, 0.003527, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.057720, 0.057728, 0.000008, 0.000000, MPI_Wtime
State, rank0, STATE, 0.057738, 0.059794, 0.002056, 0.000000, MPI_Isend
State, rank0, STATE, 0.059822, 0.060921, 0.001099, 0.000000, MPI_Isend
State, rank0, STATE, 0.060927, 0.061927, 0.001000, 0.000000, MPI_Isend
State, rank0, STATE, 0.061930, 0.062963, 0.001033, 0.000000, MPI_Isend
State, rank0, STATE, 0.062966, 0.063991, 0.001025, 0.000000, MPI_Isend
State, rank0, STATE, 0.063994, 0.065128, 0.001134, 0.000000, MPI_Isend
State, rank0, STATE, 0.065131, 0.066309, 0.001178, 0.000000, MPI_Isend
State, rank0, STATE, 0.066312, 0.067553, 0.001241, 0.000000, MPI_Isend
State, rank0, STATE, 0.067556, 0.068840, 0.001284, 0.000000, MPI_Isend
State, rank0, STATE, 0.068843, 0.070143, 0.001300, 0.000000, MPI_Isend
State, rank0, STATE, 0.070147, 0.071218, 0.001072, 0.000000, MPI_Isend
State, rank0, STATE, 0.090117, 0.099628, 0.009512, 0.000000, MPI_Wait
State, rank0, STATE, 3.565020, 3.565138, 0.000118, 0.000000, MPI_Irecv
State, rank0, STATE, 3.565151, 3.565967, 0.000815, 0.000000, MPI_Wait
State, rank0, STATE, 3.565967, 3.566012, 0.000045, 0.000000, MPI_Irecv
State, rank0, STATE, 3.566015, 3.566581, 0.000566, 0.000000, MPI_Wait
State, rank0, STATE, 3.566581, 3.566627, 0.000045, 0.000000, MPI_Irecv
State, rank0, STATE, 3.566628, 3.567219, 0.000590, 0.000000, MPI_Wait
State, rank0, STATE, 3.567219, 3.567259, 0.000040, 0.000000, MPI_Irecv
State, rank0, STATE, 3.567262, 3.567796, 0.000534, 0.000000, MPI_Wait
State, rank0, STATE, 3.567796, 3.567833, 0.000037, 0.000000, MPI_Irecv
State, rank0, STATE, 3.567835, 3.568390, 0.000556, 0.000000, MPI_Wait
State, rank0, STATE, 3.568391, 3.568431, 0.000041, 0.000000, MPI_Irecv
State, rank0, STATE, 3.568432, 3.569011, 0.000578, 0.000000, MPI_Wait
State, rank0, STATE, 3.569011, 3.569047, 0.000036, 0.000000, MPI_Irecv
State, rank0, STATE, 3.569052, 3.569597, 0.000545, 0.000000, MPI_Wait
State, rank0, STATE, 3.569597, 3.569643, 0.000045, 0.000000, MPI_Irecv
State, rank0, STATE, 3.569644, 3.570199, 0.000555, 0.000000, MPI_Wait
State, rank0, STATE, 3.570199, 3.570239, 0.000039, 0.000000, MPI_Irecv
State, rank0, STATE, 3.570240, 3.570807, 0.000567, 0.000000, MPI_Wait
State, rank0, STATE, 3.570807, 3.570859, 0.000052, 0.000000, MPI_Irecv
State, rank0, STATE, 3.570863, 3.571480, 0.000617, 0.000000, MPI_Wait
State, rank0, STATE, 3.571480, 3.571537, 0.000057, 0.000000, MPI_Irecv
State, rank0, STATE, 3.571538, 3.572421, 0.000882, 0.000000, MPI_Wait
State, rank0, STATE, 3.572421, 3.572431, 0.000010, 0.000000, MPI_Wtime
State, rank0, STATE, 3.573263, 4.583087, 1.009825, 0.000000, MPI_Finalize
