Container, 0, 0, 0, 1.85118, 1.85118, 0
Container, 0, ROOT, 0, 1.85118, 1.85118, root
Container, root, PROCESS, 0.00264811, 1.84842, 1.84577, rank9
State, rank9, STATE, 0.002649, 0.002649, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.002649, 0.002650, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.002695, 0.020499, 0.017805, 0.000000, MPI_Scatter
State, rank9, STATE, 0.020501, 0.049505, 0.029003, 0.000000, MPI_Bcast
State, rank9, STATE, 0.812052, 0.812904, 0.000853, 0.000000, MPI_Gather
State, rank9, STATE, 0.813174, 1.848416, 1.035242, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00499177, 1.85118, 1.84619, rank8
State, rank8, STATE, 0.004993, 0.004994, 0.000001, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.004995, 0.004996, 0.000002, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.005065, 0.020177, 0.015113, 0.000000, MPI_Scatter
State, rank8, STATE, 0.020179, 0.048372, 0.028193, 0.000000, MPI_Bcast
State, rank8, STATE, 0.763081, 0.817350, 0.054269, 0.000000, MPI_Gather
State, rank8, STATE, 0.817704, 1.851183, 1.033479, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00318074, 1.84841, 1.84523, rank7
State, rank7, STATE, 0.003182, 0.003182, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.003182, 0.003183, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.003223, 0.019284, 0.016060, 0.000000, MPI_Scatter
State, rank7, STATE, 0.019285, 0.047046, 0.027761, 0.000000, MPI_Bcast
State, rank7, STATE, 0.800360, 0.828475, 0.028116, 0.000000, MPI_Gather
State, rank7, STATE, 0.828985, 1.848414, 1.019429, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000424147, 1.84893, 1.8485, rank6
State, rank6, STATE, 0.000425, 0.000426, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.000426, 0.000427, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.000475, 0.018899, 0.018425, 0.000000, MPI_Scatter
State, rank6, STATE, 0.018901, 0.045974, 0.027073, 0.000000, MPI_Bcast
State, rank6, STATE, 0.826847, 0.829888, 0.003041, 0.000000, MPI_Gather
State, rank6, STATE, 0.830157, 1.848928, 1.018770, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00546765, 1.84841, 1.84295, rank5
