Container, 0, 0, 0, 4.17435, 4.17435, 0
Container, 0, ROOT, 0, 4.17435, 4.17435, root
Container, root, PROCESS, 0.00134039, 4.17336, 4.17202, rank9
State, rank9, STATE, 0.001341, 0.001342, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.001342, 0.001343, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.001389, 0.073294, 0.071905, 0.000000, MPI_Scatter
State, rank9, STATE, 0.073296, 0.118209, 0.044913, 0.000000, MPI_Bcast
State, rank9, STATE, 2.551571, 2.552456, 0.000885, 0.000000, MPI_Gather
State, rank9, STATE, 2.552751, 4.173357, 1.620605, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00520754, 4.17225, 4.16704, rank8
State, rank8, STATE, 0.005209, 0.005210, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.005210, 0.005211, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.005301, 0.073010, 0.067709, 0.000000, MPI_Scatter
State, rank8, STATE, 0.073014, 0.122732, 0.049718, 0.000000, MPI_Bcast
State, rank8, STATE, 2.839765, 3.155799, 0.316034, 0.000000, MPI_Gather
State, rank8, STATE, 3.156124, 4.172251, 1.016127, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00324225, 4.1722, 4.16896, rank7
State, rank7, STATE, 0.003243, 0.003243, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.003244, 0.003245, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.003293, 0.071501, 0.068209, 0.000000, MPI_Scatter
State, rank7, STATE, 0.071503, 0.125362, 0.053859, 0.000000, MPI_Bcast
State, rank7, STATE, 2.598981, 2.600031, 0.001050, 0.000000, MPI_Gather
State, rank7, STATE, 2.600441, 4.172201, 1.571760, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0067575, 4.17262, 4.16586, rank6
State, rank6, STATE, 0.006759, 0.006759, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.006760, 0.006761, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.006844, 0.071042, 0.064197, 0.000000, MPI_Scatter
State, rank6, STATE, 0.071043, 0.125324, 0.054280, 0.000000, MPI_Bcast
State, rank6, STATE, 2.745195, 2.747925, 0.002730, 0.000000, MPI_Gather
State, rank6, STATE, 2.748336, 4.172622, 1.424286, 0.000000, MPI_Finalize
