Container, 0, 0, 0, 3.43571, 3.43571, 0
Container, 0, ROOT, 0, 3.43571, 3.43571, root
Container, root, PROCESS, 0.00184631, 3.43435, 3.4325, rank9
State, rank9, STATE, 0.001847, 0.001848, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.001848, 0.001848, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.001893, 0.002225, 0.000332, 0.000000, MPI_Irecv
State, rank9, STATE, 0.002234, 0.065499, 0.063265, 0.000000, MPI_Wait
State, rank9, STATE, 0.065554, 0.231431, 0.165877, 0.000000, MPI_Wait
State, rank9, STATE, 2.204786, 2.205161, 0.000375, 0.000000, MPI_Isend
State, rank9, STATE, 2.205205, 2.205226, 0.000021, 0.000000, MPI_Wait
State, rank9, STATE, 2.205473, 3.434346, 1.228873, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00622749, 3.43406, 3.42783, rank8
State, rank8, STATE, 0.006229, 0.006229, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.006230, 0.006231, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.006308, 0.006880, 0.000572, 0.000000, MPI_Irecv
State, rank8, STATE, 0.006895, 0.064872, 0.057977, 0.000000, MPI_Wait
State, rank8, STATE, 0.064928, 0.207739, 0.142811, 0.000000, MPI_Wait
State, rank8, STATE, 2.368251, 2.368747, 0.000496, 0.000000, MPI_Isend
State, rank8, STATE, 2.368787, 2.368813, 0.000026, 0.000000, MPI_Wait
State, rank8, STATE, 2.369097, 3.434062, 1.064965, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00513935, 3.43525, 3.43011, rank7
State, rank7, STATE, 0.005141, 0.005141, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.005141, 0.005142, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.005184, 0.005520, 0.000336, 0.000000, MPI_Irecv
State, rank7, STATE, 0.005530, 0.063894, 0.058364, 0.000000, MPI_Wait
State, rank7, STATE, 0.063929, 0.231367, 0.167438, 0.000000, MPI_Wait
State, rank7, STATE, 1.427827, 1.428221, 0.000394, 0.000000, MPI_Isend
State, rank7, STATE, 1.428258, 1.428282, 0.000023, 0.000000, MPI_Wait
State, rank7, STATE, 1.428619, 3.435246, 2.006627, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0124836, 3.43555, 3.42307, rank6
State, rank6, STATE, 0.012485, 0.012486, 0.000001, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.012486, 0.012487, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.012541, 0.012900, 0.000360, 0.000000, MPI_Irecv
State, rank6, STATE, 0.012914, 0.063721, 0.050807, 0.000000, MPI_Wait
State, rank6, STATE, 0.063766, 0.196802, 0.133036, 0.000000, MPI_Wait
State, rank6, STATE, 2.137799, 2.138158, 0.000359, 0.000000, MPI_Isend
State, rank6, STATE, 2.138190, 2.138208, 0.000018, 0.000000, MPI_Wait
State, rank6, STATE, 2.138450, 3.435553, 1.297103, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000901937, 3.43363, 3.43273, rank5
State, rank5, STATE, 0.000903, 0.000903, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.000903, 0.000904, 0.000000, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.000957, 0.001288, 0.000331, 0.000000, MPI_Irecv
State, rank5, STATE, 0.001296, 0.063012, 0.061716, 0.000000, MPI_Wait
State, rank5, STATE, 0.063070, 0.226767, 0.163698, 0.000000, MPI_Wait
State, rank5, STATE, 2.061240, 2.061631, 0.000391, 0.000000, MPI_Isend
State, rank5, STATE, 2.061670, 2.061691, 0.000020, 0.000000, MPI_Wait
State, rank5, STATE, 2.061945, 3.433633, 1.371688, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00780964, 3.43489, 3.42708, rank4
State, rank4, STATE, 0.007811, 0.007811, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.007811, 0.007812, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.007852, 0.008155, 0.000302, 0.000000, MPI_Irecv
State, rank4, STATE, 0.008163, 0.061881, 0.053718, 0.000000, MPI_Wait
State, rank4, STATE, 0.061904, 0.186869, 0.124966, 0.000000, MPI_Wait
State, rank4, STATE, 1.376990, 1.377382, 0.000392, 0.000000, MPI_Isend
State, rank4, STATE, 1.377421, 1.377439, 0.000018, 0.000000, MPI_Wait
State, rank4, STATE, 1.377726, 3.434886, 2.057160, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00938797, 3.43415, 3.42476, rank31
State, rank31, STATE, 0.009389, 0.009389, 0.000000, 0.000000, MPI_Comm_rank
State, rank31, STATE, 0.009389, 0.009390, 0.000001, 0.000000, MPI_Comm_size
State, rank31, STATE, 0.009436, 0.009761, 0.000325, 0.000000, MPI_Irecv
State, rank31, STATE, 0.009769, 0.139808, 0.130039, 0.000000, MPI_Wait
State, rank31, STATE, 0.139847, 0.244465, 0.104618, 0.000000, MPI_Wait
State, rank31, STATE, 2.024418, 2.024826, 0.000408, 0.000000, MPI_Isend
State, rank31, STATE, 2.024853, 2.024866, 0.000013, 0.000000, MPI_Wait
State, rank31, STATE, 2.025121, 3.434153, 1.409032, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0140481, 3.43413, 3.42008, rank30
State, rank30, STATE, 0.014049, 0.014050, 0.000000, 0.000000, MPI_Comm_rank
State, rank30, STATE, 0.014050, 0.014050, 0.000000, 0.000000, MPI_Comm_size
State, rank30, STATE, 0.014104, 0.014443, 0.000339, 0.000000, MPI_Irecv
State, rank30, STATE, 0.014452, 0.078078, 0.063627, 0.000000, MPI_Wait
State, rank30, STATE, 0.078106, 0.191823, 0.113717, 0.000000, MPI_Wait
State, rank30, STATE, 2.340179, 2.340607, 0.000428, 0.000000, MPI_Isend
State, rank30, STATE, 2.340644, 2.340683, 0.000039, 0.000000, MPI_Wait
State, rank30, STATE, 2.341043, 3.434125, 1.093082, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.013268, 3.43407, 3.4208, rank3
State, rank3, STATE, 0.013269, 0.013270, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.013270, 0.013271, 0.000001, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.013324, 0.013686, 0.000362, 0.000000, MPI_Irecv
State, rank3, STATE, 0.013700, 0.061596, 0.047897, 0.000000, MPI_Wait
State, rank3, STATE, 0.061644, 0.239334, 0.177690, 0.000000, MPI_Wait
State, rank3, STATE, 2.406440, 2.406926, 0.000486, 0.000000, MPI_Isend
State, rank3, STATE, 2.406975, 2.407001, 0.000026, 0.000000, MPI_Wait
State, rank3, STATE, 2.407264, 3.434072, 1.026808, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00406861, 3.43374, 3.42968, rank29
State, rank29, STATE, 0.004070, 0.004070, 0.000000, 0.000000, MPI_Comm_rank
State, rank29, STATE, 0.004070, 0.004071, 0.000000, 0.000000, MPI_Comm_size
State, rank29, STATE, 0.004119, 0.004455, 0.000336, 0.000000, MPI_Irecv
State, rank29, STATE, 0.004463, 0.077559, 0.073097, 0.000000, MPI_Wait
State, rank29, STATE, 0.077588, 0.236508, 0.158920, 0.000000, MPI_Wait
State, rank29, STATE, 2.413226, 2.413686, 0.000460, 0.000000, MPI_Isend
State, rank29, STATE, 2.413736, 2.413761, 0.000026, 0.000000, MPI_Wait
State, rank29, STATE, 2.414063, 3.433744, 1.019680, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00462747, 3.43228, 3.42765, rank28
State, rank28, STATE, 0.004628, 0.004628, 0.000000, 0.000000, MPI_Comm_rank
State, rank28, STATE, 0.004629, 0.004629, 0.000001, 0.000000, MPI_Comm_size
State, rank28, STATE, 0.004677, 0.005012, 0.000335, 0.000000, MPI_Irecv
State, rank28, STATE, 0.005020, 0.077283, 0.072262, 0.000000, MPI_Wait
State, rank28, STATE, 0.077330, 0.202857, 0.125527, 0.000000, MPI_Wait
State, rank28, STATE, 2.252547, 2.252905, 0.000358, 0.000000, MPI_Isend
State, rank28, STATE, 2.252929, 2.252944, 0.000015, 0.000000, MPI_Wait
State, rank28, STATE, 2.253203, 3.432275, 1.179073, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.010324, 3.43449, 3.42417, rank27
State, rank27, STATE, 0.010325, 0.010325, 0.000000, 0.000000, MPI_Comm_rank
State, rank27, STATE, 0.010326, 0.010332, 0.000007, 0.000000, MPI_Comm_size
State, rank27, STATE, 0.010374, 0.010725, 0.000350, 0.000000, MPI_Irecv
State, rank27, STATE, 0.010733, 0.076736, 0.066003, 0.000000, MPI_Wait
State, rank27, STATE, 0.076780, 0.235389, 0.158610, 0.000000, MPI_Wait
State, rank27, STATE, 1.414906, 1.415248, 0.000342, 0.000000, MPI_Isend
State, rank27, STATE, 1.415270, 1.415284, 0.000015, 0.000000, MPI_Wait
State, rank27, STATE, 1.415542, 3.434489, 2.018947, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00882912, 3.4333, 3.42447, rank26
State, rank26, STATE, 0.008830, 0.008831, 0.000001, 0.000000, MPI_Comm_rank
State, rank26, STATE, 0.008832, 0.008833, 0.000001, 0.000000, MPI_Comm_size
State, rank26, STATE, 0.008933, 0.009500, 0.000567, 0.000000, MPI_Irecv
State, rank26, STATE, 0.009514, 0.076123, 0.066608, 0.000000, MPI_Wait
State, rank26, STATE, 0.076170, 0.204684, 0.128514, 0.000000, MPI_Wait
State, rank26, STATE, 2.328710, 2.329059, 0.000349, 0.000000, MPI_Isend
State, rank26, STATE, 2.329078, 2.329094, 0.000016, 0.000000, MPI_Wait
State, rank26, STATE, 2.329352, 3.433300, 1.103948, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 3.43533, 3.43533, rank25
State, rank25, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank25, STATE, 0.000003, 0.000004, 0.000001, 0.000000, MPI_Comm_size
State, rank25, STATE, 0.000060, 0.000393, 0.000333, 0.000000, MPI_Irecv
State, rank25, STATE, 0.000407, 0.075573, 0.075166, 0.000000, MPI_Wait
State, rank25, STATE, 0.075630, 0.232271, 0.156640, 0.000000, MPI_Wait
State, rank25, STATE, 2.392930, 2.393320, 0.000390, 0.000000, MPI_Isend
State, rank25, STATE, 2.393362, 2.393389, 0.000027, 0.000000, MPI_Wait
State, rank25, STATE, 2.393613, 3.435327, 1.041713, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000422955, 3.43497, 3.43454, rank24
State, rank24, STATE, 0.000424, 0.000424, 0.000000, 0.000000, MPI_Comm_rank
State, rank24, STATE, 0.000424, 0.000425, 0.000001, 0.000000, MPI_Comm_size
State, rank24, STATE, 0.000473, 0.000803, 0.000330, 0.000000, MPI_Irecv
State, rank24, STATE, 0.000812, 0.075032, 0.074219, 0.000000, MPI_Wait
State, rank24, STATE, 0.075084, 0.208126, 0.133041, 0.000000, MPI_Wait
State, rank24, STATE, 2.320257, 2.320625, 0.000369, 0.000000, MPI_Isend
State, rank24, STATE, 2.320665, 2.320681, 0.000016, 0.000000, MPI_Wait
State, rank24, STATE, 2.320927, 3.434967, 1.114040, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00284147, 3.43333, 3.43049, rank23
State, rank23, STATE, 0.002842, 0.002843, 0.000000, 0.000000, MPI_Comm_rank
State, rank23, STATE, 0.002843, 0.002844, 0.000001, 0.000000, MPI_Comm_size
State, rank23, STATE, 0.002890, 0.003244, 0.000355, 0.000000, MPI_Irecv
State, rank23, STATE, 0.003255, 0.074440, 0.071185, 0.000000, MPI_Wait
State, rank23, STATE, 0.074479, 0.230508, 0.156029, 0.000000, MPI_Wait
State, rank23, STATE, 1.498038, 1.498408, 0.000370, 0.000000, MPI_Isend
State, rank23, STATE, 1.498433, 1.498448, 0.000015, 0.000000, MPI_Wait
State, rank23, STATE, 1.498697, 3.433328, 1.934631, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00832891, 3.43302, 3.42469, rank22
State, rank22, STATE, 0.008330, 0.008331, 0.000001, 0.000000, MPI_Comm_rank
State, rank22, STATE, 0.008332, 0.008333, 0.000001, 0.000000, MPI_Comm_size
State, rank22, STATE, 0.008422, 0.008983, 0.000561, 0.000000, MPI_Irecv
State, rank22, STATE, 0.008997, 0.073992, 0.064995, 0.000000, MPI_Wait
State, rank22, STATE, 0.074040, 0.198612, 0.124572, 0.000000, MPI_Wait
State, rank22, STATE, 2.076009, 2.076389, 0.000381, 0.000000, MPI_Isend
State, rank22, STATE, 2.076417, 2.076431, 0.000013, 0.000000, MPI_Wait
State, rank22, STATE, 2.076682, 3.433016, 1.356334, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00233984, 3.43237, 3.43003, rank21
State, rank21, STATE, 0.002341, 0.002342, 0.000000, 0.000000, MPI_Comm_rank
State, rank21, STATE, 0.002342, 0.002343, 0.000001, 0.000000, MPI_Comm_size
State, rank21, STATE, 0.002426, 0.002990, 0.000563, 0.000000, MPI_Irecv
State, rank21, STATE, 0.003003, 0.073440, 0.070438, 0.000000, MPI_Wait
State, rank21, STATE, 0.073491, 0.227601, 0.154110, 0.000000, MPI_Wait
State, rank21, STATE, 2.392518, 2.392877, 0.000360, 0.000000, MPI_Isend
State, rank21, STATE, 2.392901, 2.392916, 0.000015, 0.000000, MPI_Wait
State, rank21, STATE, 2.393166, 3.432369, 1.039203, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00677967, 3.43306, 3.42628, rank20
State, rank20, STATE, 0.006781, 0.006782, 0.000000, 0.000000, MPI_Comm_rank
State, rank20, STATE, 0.006783, 0.006783, 0.000001, 0.000000, MPI_Comm_size
State, rank20, STATE, 0.006871, 0.007442, 0.000571, 0.000000, MPI_Irecv
State, rank20, STATE, 0.007457, 0.072886, 0.065429, 0.000000, MPI_Wait
State, rank20, STATE, 0.072937, 0.188282, 0.115345, 0.000000, MPI_Wait
State, rank20, STATE, 2.079751, 2.080080, 0.000329, 0.000000, MPI_Isend
State, rank20, STATE, 2.080098, 2.080113, 0.000015, 0.000000, MPI_Wait
State, rank20, STATE, 2.080335, 3.433057, 1.352722, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0128644, 3.43373, 3.42087, rank2
State, rank2, STATE, 0.012866, 0.012866, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.012866, 0.012867, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.012928, 0.013483, 0.000555, 0.000000, MPI_Irecv
State, rank2, STATE, 0.013496, 0.060998, 0.047502, 0.000000, MPI_Wait
State, rank2, STATE, 0.061042, 0.189401, 0.128359, 0.000000, MPI_Wait
State, rank2, STATE, 2.136962, 2.137351, 0.000390, 0.000000, MPI_Isend
State, rank2, STATE, 2.137378, 2.137391, 0.000013, 0.000000, MPI_Wait
State, rank2, STATE, 2.137693, 3.433730, 1.296037, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00137568, 3.43469, 3.43331, rank19
State, rank19, STATE, 0.001377, 0.001377, 0.000000, 0.000000, MPI_Comm_rank
State, rank19, STATE, 0.001377, 0.001378, 0.000001, 0.000000, MPI_Comm_size
State, rank19, STATE, 0.001434, 0.001763, 0.000329, 0.000000, MPI_Irecv
State, rank19, STATE, 0.001771, 0.072261, 0.070490, 0.000000, MPI_Wait
State, rank19, STATE, 0.072306, 0.239400, 0.167094, 0.000000, MPI_Wait
State, rank19, STATE, 2.119130, 2.119565, 0.000435, 0.000000, MPI_Isend
State, rank19, STATE, 2.119608, 2.119634, 0.000027, 0.000000, MPI_Wait
State, rank19, STATE, 2.119894, 3.434690, 1.314796, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00993395, 3.43301, 3.42307, rank18
State, rank18, STATE, 0.009935, 0.009935, 0.000000, 0.000000, MPI_Comm_rank
State, rank18, STATE, 0.009935, 0.009936, 0.000001, 0.000000, MPI_Comm_size
State, rank18, STATE, 0.009986, 0.010319, 0.000333, 0.000000, MPI_Irecv
State, rank18, STATE, 0.010327, 0.071230, 0.060903, 0.000000, MPI_Wait
State, rank18, STATE, 0.071255, 0.187342, 0.116087, 0.000000, MPI_Wait
State, rank18, STATE, 1.374060, 1.374542, 0.000482, 0.000000, MPI_Isend
State, rank18, STATE, 1.374584, 1.374615, 0.000031, 0.000000, MPI_Wait
State, rank18, STATE, 1.374908, 3.433006, 2.058097, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00370169, 3.43461, 3.43091, rank17
State, rank17, STATE, 0.003703, 0.003703, 0.000000, 0.000000, MPI_Comm_rank
State, rank17, STATE, 0.003704, 0.003704, 0.000000, 0.000000, MPI_Comm_size
State, rank17, STATE, 0.003746, 0.004091, 0.000345, 0.000000, MPI_Irecv
State, rank17, STATE, 0.004100, 0.070626, 0.066527, 0.000000, MPI_Wait
State, rank17, STATE, 0.070659, 0.228819, 0.158160, 0.000000, MPI_Wait
State, rank17, STATE, 1.410824, 1.411212, 0.000388, 0.000000, MPI_Isend
State, rank17, STATE, 1.411254, 1.411272, 0.000018, 0.000000, MPI_Wait
State, rank17, STATE, 1.411519, 3.434609, 2.023090, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0116255, 3.43386, 3.42224, rank16
State, rank16, STATE, 0.011626, 0.011627, 0.000000, 0.000000, MPI_Comm_rank
State, rank16, STATE, 0.011627, 0.011628, 0.000001, 0.000000, MPI_Comm_size
State, rank16, STATE, 0.011680, 0.012013, 0.000333, 0.000000, MPI_Irecv
State, rank16, STATE, 0.012021, 0.070328, 0.058308, 0.000000, MPI_Wait
State, rank16, STATE, 0.070364, 0.198176, 0.127812, 0.000000, MPI_Wait
State, rank16, STATE, 2.142339, 2.142708, 0.000368, 0.000000, MPI_Isend
State, rank16, STATE, 2.142729, 2.142742, 0.000014, 0.000000, MPI_Wait
State, rank16, STATE, 2.143063, 3.433861, 1.290799, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0111127, 3.43412, 3.423, rank15
State, rank15, STATE, 0.011114, 0.011114, 0.000000, 0.000000, MPI_Comm_rank
State, rank15, STATE, 0.011115, 0.011116, 0.000001, 0.000000, MPI_Comm_size
State, rank15, STATE, 0.011188, 0.011740, 0.000552, 0.000000, MPI_Irecv
State, rank15, STATE, 0.011753, 0.069679, 0.057926, 0.000000, MPI_Wait
State, rank15, STATE, 0.069718, 0.244477, 0.174758, 0.000000, MPI_Wait
State, rank15, STATE, 2.049715, 2.050090, 0.000375, 0.000000, MPI_Isend
State, rank15, STATE, 2.050112, 2.050125, 0.000013, 0.000000, MPI_Wait
State, rank15, STATE, 2.050481, 3.434117, 1.383635, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0144627, 3.43571, 3.42124, rank14
State, rank14, STATE, 0.014465, 0.014465, 0.000000, 0.000000, MPI_Comm_rank
State, rank14, STATE, 0.014466, 0.014467, 0.000001, 0.000000, MPI_Comm_size
State, rank14, STATE, 0.014560, 0.015121, 0.000562, 0.000000, MPI_Irecv
State, rank14, STATE, 0.015136, 0.068758, 0.053622, 0.000000, MPI_Wait
State, rank14, STATE, 0.068805, 0.190781, 0.121977, 0.000000, MPI_Wait
State, rank14, STATE, 1.388027, 1.388475, 0.000448, 0.000000, MPI_Isend
State, rank14, STATE, 1.388520, 1.388553, 0.000034, 0.000000, MPI_Wait
State, rank14, STATE, 1.388847, 3.435707, 2.046860, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0136483, 3.43513, 3.42148, rank13
State, rank13, STATE, 0.013650, 0.013650, 0.000000, 0.000000, MPI_Comm_rank
State, rank13, STATE, 0.013651, 0.013651, 0.000001, 0.000000, MPI_Comm_size
State, rank13, STATE, 0.013722, 0.014289, 0.000567, 0.000000, MPI_Irecv
State, rank13, STATE, 0.014303, 0.068075, 0.053771, 0.000000, MPI_Wait
State, rank13, STATE, 0.068119, 0.236532, 0.168413, 0.000000, MPI_Wait
State, rank13, STATE, 2.413479, 2.413949, 0.000470, 0.000000, MPI_Isend
State, rank13, STATE, 2.413996, 2.414062, 0.000066, 0.000000, MPI_Wait
State, rank13, STATE, 2.414406, 3.435129, 1.020723, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00723553, 3.43308, 3.42585, rank12
State, rank12, STATE, 0.007237, 0.007237, 0.000000, 0.000000, MPI_Comm_rank
State, rank12, STATE, 0.007237, 0.007238, 0.000001, 0.000000, MPI_Comm_size
State, rank12, STATE, 0.007280, 0.007588, 0.000308, 0.000000, MPI_Irecv
State, rank12, STATE, 0.007597, 0.067388, 0.059790, 0.000000, MPI_Wait
State, rank12, STATE, 0.067437, 0.202512, 0.135075, 0.000000, MPI_Wait
State, rank12, STATE, 2.038613, 2.039018, 0.000405, 0.000000, MPI_Isend
State, rank12, STATE, 2.039044, 2.039057, 0.000013, 0.000000, MPI_Wait
State, rank12, STATE, 2.039350, 3.433082, 1.393732, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0120704, 3.43539, 3.42332, rank11
State, rank11, STATE, 0.012072, 0.012072, 0.000000, 0.000000, MPI_Comm_rank
State, rank11, STATE, 0.012073, 0.012074, 0.000001, 0.000000, MPI_Comm_size
State, rank11, STATE, 0.012157, 0.012717, 0.000560, 0.000000, MPI_Irecv
State, rank11, STATE, 0.012731, 0.066706, 0.053975, 0.000000, MPI_Wait
State, rank11, STATE, 0.066748, 0.234837, 0.168088, 0.000000, MPI_Wait
State, rank11, STATE, 2.083822, 2.084207, 0.000385, 0.000000, MPI_Isend
State, rank11, STATE, 2.084249, 2.084272, 0.000023, 0.000000, MPI_Wait
State, rank11, STATE, 2.084542, 3.435394, 1.350852, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0107212, 3.43512, 3.4244, rank10
State, rank10, STATE, 0.010723, 0.010723, 0.000000, 0.000000, MPI_Comm_rank
State, rank10, STATE, 0.010724, 0.010725, 0.000001, 0.000000, MPI_Comm_size
State, rank10, STATE, 0.010801, 0.011361, 0.000560, 0.000000, MPI_Irecv
State, rank10, STATE, 0.011374, 0.066096, 0.054722, 0.000000, MPI_Wait
State, rank10, STATE, 0.066135, 0.204307, 0.138172, 0.000000, MPI_Wait
State, rank10, STATE, 2.002026, 2.002455, 0.000429, 0.000000, MPI_Isend
State, rank10, STATE, 2.002495, 2.002515, 0.000020, 0.000000, MPI_Wait
State, rank10, STATE, 2.002790, 3.435119, 1.432329, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00565577, 3.43536, 3.42971, rank1
State, rank1, STATE, 0.005657, 0.005658, 0.000001, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.005659, 0.005660, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.005743, 0.006299, 0.000556, 0.000000, MPI_Irecv
State, rank1, STATE, 0.006314, 0.060270, 0.053956, 0.000000, MPI_Wait
State, rank1, STATE, 0.060349, 0.228639, 0.168290, 0.000000, MPI_Wait
State, rank1, STATE, 2.254558, 2.255112, 0.000554, 0.000000, MPI_Isend
State, rank1, STATE, 2.255157, 2.255193, 0.000036, 0.000000, MPI_Wait
State, rank1, STATE, 2.255482, 3.435365, 1.179883, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00324273, 3.43397, 3.43073, rank0
State, rank0, STATE, 0.003244, 0.003244, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.003245, 0.003246, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.058216, 0.058235, 0.000019, 0.000000, MPI_Wtime
State, rank0, STATE, 0.058244, 0.059659, 0.001416, 0.000000, MPI_Isend
State, rank0, STATE, 0.059683, 0.060344, 0.000661, 0.000000, MPI_Isend
State, rank0, STATE, 0.060350, 0.060941, 0.000591, 0.000000, MPI_Isend
State, rank0, STATE, 0.060945, 0.061667, 0.000723, 0.000000, MPI_Isend
State, rank0, STATE, 0.061671, 0.062386, 0.000715, 0.000000, MPI_Isend
State, rank0, STATE, 0.062390, 0.063076, 0.000685, 0.000000, MPI_Isend
State, rank0, STATE, 0.063079, 0.063693, 0.000613, 0.000000, MPI_Isend
State, rank0, STATE, 0.063696, 0.064242, 0.000546, 0.000000, MPI_Isend
State, rank0, STATE, 0.064245, 0.064874, 0.000629, 0.000000, MPI_Isend
State, rank0, STATE, 0.064878, 0.065444, 0.000566, 0.000000, MPI_Isend
State, rank0, STATE, 0.065448, 0.066057, 0.000609, 0.000000, MPI_Isend
State, rank0, STATE, 0.066060, 0.066760, 0.000700, 0.000000, MPI_Isend
State, rank0, STATE, 0.066763, 0.067446, 0.000682, 0.000000, MPI_Isend
State, rank0, STATE, 0.067449, 0.068128, 0.000679, 0.000000, MPI_Isend
State, rank0, STATE, 0.068131, 0.068796, 0.000665, 0.000000, MPI_Isend
