Container, 0, 0, 0, 6.15252, 6.15252, 0
Container, 0, ROOT, 0, 6.15252, 6.15252, root
Container, root, PROCESS, 0.00390291, 6.15096, 6.14705, rank7
State, rank7, STATE, 0.003904, 0.003905, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.003905, 0.003906, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.003963, 0.004395, 0.000433, 0.000000, MPI_Irecv
State, rank7, STATE, 0.004409, 0.069607, 0.065198, 0.000000, MPI_Wait
State, rank7, STATE, 0.069632, 0.104210, 0.034579, 0.000000, MPI_Wait
State, rank7, STATE, 4.738218, 4.739675, 0.001456, 0.000000, MPI_Isend
State, rank7, STATE, 4.739703, 4.739739, 0.000036, 0.000000, MPI_Wait
State, rank7, STATE, 4.740143, 6.150958, 1.410815, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00209641, 6.15189, 6.14979, rank6
State, rank6, STATE, 0.002097, 0.002098, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.002098, 0.002099, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.002144, 0.002498, 0.000354, 0.000000, MPI_Irecv
State, rank6, STATE, 0.002508, 0.067820, 0.065313, 0.000000, MPI_Wait
State, rank6, STATE, 0.067853, 0.097402, 0.029549, 0.000000, MPI_Wait
State, rank6, STATE, 4.924240, 4.925507, 0.001266, 0.000000, MPI_Isend
State, rank6, STATE, 4.925546, 4.925567, 0.000021, 0.000000, MPI_Wait
State, rank6, STATE, 4.925972, 6.151889, 1.225917, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00324273, 6.15252, 6.14928, rank5
State, rank5, STATE, 0.003243, 0.003244, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.003244, 0.003245, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.003293, 0.003645, 0.000353, 0.000000, MPI_Irecv
State, rank5, STATE, 0.003654, 0.066244, 0.062590, 0.000000, MPI_Wait
State, rank5, STATE, 0.066274, 0.095145, 0.028871, 0.000000, MPI_Wait
State, rank5, STATE, 4.954139, 4.955569, 0.001430, 0.000000, MPI_Isend
State, rank5, STATE, 4.955618, 4.955660, 0.000041, 0.000000, MPI_Wait
State, rank5, STATE, 4.956157, 6.152520, 1.196363, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000406504, 6.15202, 6.15161, rank4
State, rank4, STATE, 0.000407, 0.000407, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.000408, 0.000408, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.000453, 0.000806, 0.000353, 0.000000, MPI_Irecv
State, rank4, STATE, 0.000816, 0.064685, 0.063869, 0.000000, MPI_Wait
State, rank4, STATE, 0.064714, 0.090026, 0.025311, 0.000000, MPI_Wait
State, rank4, STATE, 4.972986, 4.974241, 0.001255, 0.000000, MPI_Isend
State, rank4, STATE, 4.974273, 4.974305, 0.000032, 0.000000, MPI_Wait
