Container, 0, 0, 0, 7.3188, 7.3188, 0
Container, 0, ROOT, 0, 7.3188, 7.3188, root
Container, root, PROCESS, 0.00106382, 7.31865, 7.31759, rank5
State, rank5, STATE, 0.001066, 0.001066, 0.000000, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.001066, 0.001068, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.001123, 0.045291, 0.044168, 0.000000, MPI_Recv
State, rank5, STATE, 0.045293, 0.097699, 0.052407, 0.000000, MPI_Bcast
State, rank5, STATE, 6.305975, 6.307926, 0.001951, 0.000000, MPI_Send
State, rank5, STATE, 6.308522, 7.318653, 1.010131, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000561953, 7.31869, 7.31813, rank4
State, rank4, STATE, 0.000563, 0.000563, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.000564, 0.000565, 0.000001, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.000623, 0.044187, 0.043564, 0.000000, MPI_Recv
State, rank4, STATE, 0.044188, 0.097738, 0.053550, 0.000000, MPI_Bcast
State, rank4, STATE, 6.227793, 6.229105, 0.001312, 0.000000, MPI_Send
State, rank4, STATE, 6.229584, 7.318692, 1.089107, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00198674, 7.3188, 7.31681, rank3
State, rank3, STATE, 0.001988, 0.001988, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.001988, 0.001989, 0.000001, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.002060, 0.042437, 0.040376, 0.000000, MPI_Recv
State, rank3, STATE, 0.042439, 0.087071, 0.044632, 0.000000, MPI_Bcast
State, rank3, STATE, 6.276962, 6.278307, 0.001345, 0.000000, MPI_Send
State, rank3, STATE, 6.278743, 7.318800, 1.040057, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00255418, 7.31806, 7.31551, rank2
State, rank2, STATE, 0.002555, 0.002556, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.002556, 0.002557, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.002624, 0.039927, 0.037303, 0.000000, MPI_Recv
State, rank2, STATE, 0.039930, 0.076147, 0.036217, 0.000000, MPI_Bcast
State, rank2, STATE, 6.250658, 6.252036, 0.001378, 0.000000, MPI_Send
State, rank2, STATE, 6.252387, 7.318063, 1.065676, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 7.31782, 7.31782, rank1
State, rank1, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000003, 0.000005, 0.000002, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000075, 0.038923, 0.038848, 0.000000, MPI_Recv
State, rank1, STATE, 0.038924, 0.067624, 0.028700, 0.000000, MPI_Bcast
State, rank1, STATE, 6.205351, 6.206685, 0.001334, 0.000000, MPI_Send
State, rank1, STATE, 6.207101, 7.317817, 1.110716, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00155711, 7.31879, 7.31723, rank0
State, rank0, STATE, 0.001558, 0.001559, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.001559, 0.001559, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.035217, 0.035230, 0.000013, 0.000000, MPI_Wtime
State, rank0, STATE, 0.035272, 0.037640, 0.002368, 0.000000, MPI_Send
State, rank0, STATE, 0.037641, 0.039404, 0.001763, 0.000000, MPI_Send
State, rank0, STATE, 0.039404, 0.040931, 0.001527, 0.000000, MPI_Send
State, rank0, STATE, 0.040931, 0.042559, 0.001628, 0.000000, MPI_Send
State, rank0, STATE, 0.042560, 0.044087, 0.001528, 0.000000, MPI_Send
State, rank0, STATE, 0.047430, 0.057694, 0.010265, 0.000000, MPI_Bcast
State, rank0, STATE, 6.228148, 6.229690, 0.001542, 0.000000, MPI_Recv
State, rank0, STATE, 6.229690, 6.252065, 0.022375, 0.000000, MPI_Recv
State, rank0, STATE, 6.252066, 6.278299, 0.026232, 0.000000, MPI_Recv
State, rank0, STATE, 6.278299, 6.279421, 0.001122, 0.000000, MPI_Recv
State, rank0, STATE, 6.279421, 6.308318, 0.028897, 0.000000, MPI_Recv
State, rank0, STATE, 6.308319, 6.308319, 0.000000, 0.000000, MPI_Wtime
State, rank0, STATE, 6.309231, 7.318790, 1.009559, 0.000000, MPI_Finalize
