Container, 0, 0, 0, 3.72602, 3.72602, 0
Container, 0, ROOT, 0, 3.72602, 3.72602, root
Container, root, PROCESS, 0.000444174, 3.72571, 3.72527, rank1
State, rank1, STATE, 0.000446, 0.000446, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000446, 0.000447, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000502, 0.024785, 0.024283, 0.000000, MPI_Scatter
State, rank1, STATE, 0.024786, 0.029809, 0.005023, 0.000000, MPI_Bcast
State, rank1, STATE, 2.701701, 2.714787, 0.013086, 0.000000, MPI_Gather
State, rank1, STATE, 2.715280, 3.725711, 1.010431, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 3.72602, 3.72602, rank0
State, rank0, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000003, 0.000005, 0.000002, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.017835, 0.017847, 0.000013, 0.000000, MPI_Wtime
State, rank0, STATE, 0.017854, 0.023494, 0.005640, 0.000000, MPI_Scatter
State, rank0, STATE, 0.023499, 0.028846, 0.005347, 0.000000, MPI_Bcast
State, rank0, STATE, 2.712771, 2.716876, 0.004105, 0.000000, MPI_Gather
State, rank0, STATE, 2.716876, 2.716877, 0.000001, 0.000000, MPI_Wtime
State, rank0, STATE, 2.717883, 3.726020, 1.008137, 0.000000, MPI_Finalize
