Container, 0, 0, 0, 1.40398, 1.40398, 0
Container, 0, ROOT, 0, 1.40398, 1.40398, root
Container, root, PROCESS, 0.000549078, 1.40384, 1.40329, rank1
State, rank1, STATE, 0.000550, 0.000551, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000551, 0.000552, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000614, 0.007847, 0.007232, 0.000000, MPI_Recv
State, rank1, STATE, 0.007848, 0.010021, 0.002173, 0.000000, MPI_Bcast
State, rank1, STATE, 0.389837, 0.390198, 0.000361, 0.000000, MPI_Send
State, rank1, STATE, 0.390394, 1.403835, 1.013441, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 1.40398, 1.40398, rank0
State, rank0, STATE, 0.000001, 0.000002, 0.000001, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000003, 0.000004, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.005882, 0.005884, 0.000002, 0.000000, MPI_Wtime
State, rank0, STATE, 0.005913, 0.007133, 0.001220, 0.000000, MPI_Send
State, rank0, STATE, 0.008469, 0.009350, 0.000881, 0.000000, MPI_Bcast
State, rank0, STATE, 0.397713, 0.398003, 0.000290, 0.000000, MPI_Recv
State, rank0, STATE, 0.398003, 0.398003, 0.000000, 0.000000, MPI_Wtime
State, rank0, STATE, 0.398586, 1.403977, 1.005390, 0.000000, MPI_Finalize
