Container, 0, 0, 0, 3.74116, 3.74116, 0
Container, 0, ROOT, 0, 3.74116, 3.74116, root
Container, root, PROCESS, 0, 3.74116, 3.74116, rank1
State, rank1, STATE, 0.000002, 0.000002, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000003, 0.000005, 0.000001, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000077, 0.000527, 0.000450, 0.000000, MPI_Irecv
State, rank1, STATE, 0.000544, 0.022423, 0.021879, 0.000000, MPI_Wait
State, rank1, STATE, 0.022446, 0.030885, 0.008438, 0.000000, MPI_Wait
State, rank1, STATE, 2.676584, 2.678086, 0.001503, 0.000000, MPI_Isend
State, rank1, STATE, 2.678121, 2.678137, 0.000016, 0.000000, MPI_Wait
State, rank1, STATE, 2.678541, 3.741163, 1.062622, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.000572443, 3.74112, 3.74055, rank0
State, rank0, STATE, 0.000574, 0.000575, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.000575, 0.000576, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.018082, 0.018086, 0.000005, 0.000000, MPI_Wtime
State, rank0, STATE, 0.018099, 0.021086, 0.002987, 0.000000, MPI_Isend
State, rank0, STATE, 0.030446, 0.030469, 0.000022, 0.000000, MPI_Wait
State, rank0, STATE, 2.730696, 2.730801, 0.000105, 0.000000, MPI_Irecv
State, rank0, STATE, 2.730811, 2.732283, 0.001472, 0.000000, MPI_Wait
State, rank0, STATE, 2.732283, 2.732290, 0.000007, 0.000000, MPI_Wtime
State, rank0, STATE, 2.733296, 3.741120, 1.007824, 0.000000, MPI_Finalize
