Container, 0, 0, 0, 3.71573, 3.71573, 0
Container, 0, ROOT, 0, 3.71573, 3.71573, root
Container, root, PROCESS, 0, 3.71573, 3.71573, rank1
State, rank1, STATE, 0.000002, 0.000003, 0.000000, 0.000000, MPI_Comm_rank
State, rank1, STATE, 0.000004, 0.000005, 0.000002, 0.000000, MPI_Comm_size
State, rank1, STATE, 0.000067, 0.023187, 0.023120, 0.000000, MPI_Recv
State, rank1, STATE, 0.023190, 0.031923, 0.008733, 0.000000, MPI_Bcast
State, rank1, STATE, 2.705207, 2.706901, 0.001694, 0.000000, MPI_Send
State, rank1, STATE, 2.707466, 3.715728, 1.008262, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00226235, 3.71572, 3.71346, rank0
State, rank0, STATE, 0.002264, 0.002264, 0.000000, 0.000000, MPI_Comm_rank
State, rank0, STATE, 0.002265, 0.002266, 0.000001, 0.000000, MPI_Comm_size
State, rank0, STATE, 0.018946, 0.018951, 0.000005, 0.000000, MPI_Wtime
State, rank0, STATE, 0.018986, 0.021801, 0.002815, 0.000000, MPI_Send
State, rank0, STATE, 0.026769, 0.031677, 0.004908, 0.000000, MPI_Bcast
State, rank0, STATE, 2.697257, 2.707193, 0.009936, 0.000000, MPI_Recv
State, rank0, STATE, 2.707193, 2.707194, 0.000001, 0.000000, MPI_Wtime
State, rank0, STATE, 2.708056, 3.715724, 1.007668, 0.000000, MPI_Finalize
