Container, 0, 0, 0, 3.62173, 3.62173, 0
Container, 0, ROOT, 0, 3.62173, 3.62173, root
Container, root, PROCESS, 0.00255489, 3.61868, 3.61612, rank9
State, rank9, STATE, 0.002556, 0.002556, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.002557, 0.002558, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.002625, 0.003192, 0.000566, 0.000000, MPI_Irecv
State, rank9, STATE, 0.003205, 0.046703, 0.043499, 0.000000, MPI_Wait
State, rank9, STATE, 0.046741, 1.873728, 1.826988, 0.000000, MPI_Wait
State, rank9, STATE, 1.968625, 1.968779, 0.000154, 0.000000, MPI_Isend
State, rank9, STATE, 1.968790, 1.968795, 0.000005, 0.000000, MPI_Wait
State, rank9, STATE, 1.968997, 3.618680, 1.649682, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0140436, 3.62031, 3.60627, rank8
State, rank8, STATE, 0.014045, 0.014046, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.014046, 0.014047, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.014111, 0.014661, 0.000549, 0.000000, MPI_Irecv
State, rank8, STATE, 0.014674, 0.046361, 0.031687, 0.000000, MPI_Wait
State, rank8, STATE, 0.046412, 1.778950, 1.732538, 0.000000, MPI_Wait
State, rank8, STATE, 1.871996, 1.872131, 0.000135, 0.000000, MPI_Isend
State, rank8, STATE, 1.872145, 1.872152, 0.000007, 0.000000, MPI_Wait
State, rank8, STATE, 1.872322, 3.620309, 1.747988, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00128365, 3.6185, 3.61722, rank7
State, rank7, STATE, 0.001285, 0.001285, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.001286, 0.001287, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.001333, 0.001666, 0.000333, 0.000000, MPI_Irecv
State, rank7, STATE, 0.001679, 0.045935, 0.044255, 0.000000, MPI_Wait
State, rank7, STATE, 0.045955, 2.209368, 2.163413, 0.000000, MPI_Wait
State, rank7, STATE, 2.343755, 2.343905, 0.000150, 0.000000, MPI_Isend
State, rank7, STATE, 2.343921, 2.343929, 0.000008, 0.000000, MPI_Wait
State, rank7, STATE, 2.344114, 3.618503, 1.274389, 0.000000, MPI_Finalize
Container, root, PROCESS, 0, 3.61781, 3.61781, rank63
State, rank63, STATE, 0.000001, 0.000001, 0.000000, 0.000000, MPI_Comm_rank
State, rank63, STATE, 0.000002, 0.000003, 0.000001, 0.000000, MPI_Comm_size
State, rank63, STATE, 0.000058, 0.000467, 0.000410, 0.000000, MPI_Irecv
