Container, 0, 0, 0, 3.62788, 3.62788, 0
Container, 0, ROOT, 0, 3.62788, 3.62788, root
Container, root, PROCESS, 0.00888181, 3.62696, 3.61808, rank9
State, rank9, STATE, 0.008883, 0.008883, 0.000000, 0.000000, MPI_Comm_rank
State, rank9, STATE, 0.008883, 0.008884, 0.000001, 0.000000, MPI_Comm_size
State, rank9, STATE, 0.008928, 0.072372, 0.063445, 0.000000, MPI_Scatter
State, rank9, STATE, 0.072374, 0.222912, 0.150538, 0.000000, MPI_Bcast
State, rank9, STATE, 1.440039, 1.440628, 0.000589, 0.000000, MPI_Gather
State, rank9, STATE, 1.440933, 3.626963, 2.186030, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00580811, 3.6275, 3.62169, rank8
State, rank8, STATE, 0.005810, 0.005810, 0.000000, 0.000000, MPI_Comm_rank
State, rank8, STATE, 0.005810, 0.005811, 0.000001, 0.000000, MPI_Comm_size
State, rank8, STATE, 0.005866, 0.072201, 0.066336, 0.000000, MPI_Scatter
State, rank8, STATE, 0.072202, 0.237170, 0.164968, 0.000000, MPI_Bcast
State, rank8, STATE, 2.459635, 2.519492, 0.059858, 0.000000, MPI_Gather
State, rank8, STATE, 2.519719, 3.627495, 1.107776, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00763607, 3.62561, 3.61798, rank7
State, rank7, STATE, 0.007637, 0.007638, 0.000000, 0.000000, MPI_Comm_rank
State, rank7, STATE, 0.007638, 0.007639, 0.000001, 0.000000, MPI_Comm_size
State, rank7, STATE, 0.007718, 0.071512, 0.063794, 0.000000, MPI_Scatter
State, rank7, STATE, 0.071513, 0.263045, 0.191532, 0.000000, MPI_Bcast
State, rank7, STATE, 2.267551, 2.268641, 0.001089, 0.000000, MPI_Gather
State, rank7, STATE, 2.269005, 3.625612, 1.356607, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00139093, 3.62585, 3.62446, rank6
State, rank6, STATE, 0.001392, 0.001392, 0.000000, 0.000000, MPI_Comm_rank
State, rank6, STATE, 0.001392, 0.001393, 0.000001, 0.000000, MPI_Comm_size
State, rank6, STATE, 0.001436, 0.070460, 0.069024, 0.000000, MPI_Scatter
State, rank6, STATE, 0.070461, 0.250879, 0.180418, 0.000000, MPI_Bcast
State, rank6, STATE, 1.479343, 2.269733, 0.790391, 0.000000, MPI_Gather
State, rank6, STATE, 2.269979, 3.625847, 1.355867, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00927877, 3.62663, 3.61735, rank5
State, rank5, STATE, 0.009280, 0.009281, 0.000001, 0.000000, MPI_Comm_rank
State, rank5, STATE, 0.009282, 0.009283, 0.000001, 0.000000, MPI_Comm_size
State, rank5, STATE, 0.009365, 0.070242, 0.060877, 0.000000, MPI_Scatter
State, rank5, STATE, 0.070243, 0.236239, 0.165996, 0.000000, MPI_Bcast
State, rank5, STATE, 2.514267, 2.514953, 0.000686, 0.000000, MPI_Gather
State, rank5, STATE, 2.515254, 3.626625, 1.111372, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00342131, 3.62727, 3.62385, rank4
State, rank4, STATE, 0.003422, 0.003422, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.003423, 0.003430, 0.000007, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.003468, 0.069486, 0.066018, 0.000000, MPI_Scatter
State, rank4, STATE, 0.069488, 0.263078, 0.193590, 0.000000, MPI_Bcast
State, rank4, STATE, 2.040577, 2.517174, 0.476597, 0.000000, MPI_Gather
State, rank4, STATE, 2.517385, 3.627268, 1.109883, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0122073, 3.62656, 3.61435, rank31
State, rank31, STATE, 0.012209, 0.012210, 0.000001, 0.000000, MPI_Comm_rank
State, rank31, STATE, 0.012210, 0.012211, 0.000001, 0.000000, MPI_Comm_size
State, rank31, STATE, 0.012291, 0.141961, 0.129670, 0.000000, MPI_Scatter
State, rank31, STATE, 0.141963, 0.213749, 0.071785, 0.000000, MPI_Bcast
State, rank31, STATE, 2.431595, 2.432520, 0.000925, 0.000000, MPI_Gather
State, rank31, STATE, 2.432794, 3.626560, 1.193766, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0117741, 3.62568, 3.6139, rank30
State, rank30, STATE, 0.011775, 0.011775, 0.000000, 0.000000, MPI_Comm_rank
State, rank30, STATE, 0.011776, 0.011785, 0.000009, 0.000000, MPI_Comm_size
State, rank30, STATE, 0.011856, 0.085581, 0.073725, 0.000000, MPI_Scatter
State, rank30, STATE, 0.085582, 0.203938, 0.118355, 0.000000, MPI_Bcast
State, rank30, STATE, 2.123300, 2.433678, 0.310378, 0.000000, MPI_Gather
State, rank30, STATE, 2.433921, 3.625679, 1.191758, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0109732, 3.62475, 3.61377, rank3
State, rank3, STATE, 0.010974, 0.010974, 0.000000, 0.000000, MPI_Comm_rank
State, rank3, STATE, 0.010975, 0.010976, 0.000001, 0.000000, MPI_Comm_size
State, rank3, STATE, 0.011025, 0.068592, 0.057568, 0.000000, MPI_Scatter
State, rank3, STATE, 0.068594, 0.204782, 0.136188, 0.000000, MPI_Bcast
State, rank3, STATE, 1.420228, 2.432239, 1.012011, 0.000000, MPI_Gather
State, rank3, STATE, 2.432486, 3.624747, 1.192262, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0101445, 3.62679, 3.61664, rank29
State, rank29, STATE, 0.010146, 0.010146, 0.000000, 0.000000, MPI_Comm_rank
State, rank29, STATE, 0.010146, 0.010147, 0.000001, 0.000000, MPI_Comm_size
State, rank29, STATE, 0.010212, 0.085303, 0.075092, 0.000000, MPI_Scatter
State, rank29, STATE, 0.085305, 0.196425, 0.111120, 0.000000, MPI_Bcast
State, rank29, STATE, 2.424662, 2.425253, 0.000591, 0.000000, MPI_Gather
State, rank29, STATE, 2.425573, 3.626786, 1.201213, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00973439, 3.62726, 3.61752, rank28
State, rank28, STATE, 0.009735, 0.009735, 0.000000, 0.000000, MPI_Comm_rank
State, rank28, STATE, 0.009736, 0.009737, 0.000001, 0.000000, MPI_Comm_size
State, rank28, STATE, 0.009779, 0.084672, 0.074893, 0.000000, MPI_Scatter
State, rank28, STATE, 0.084674, 0.213013, 0.128339, 0.000000, MPI_Bcast
State, rank28, STATE, 2.441057, 2.446694, 0.005637, 0.000000, MPI_Gather
State, rank28, STATE, 2.447132, 3.627259, 1.180128, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00476837, 3.6273, 3.62253, rank27
State, rank27, STATE, 0.004769, 0.004770, 0.000000, 0.000000, MPI_Comm_rank
State, rank27, STATE, 0.004770, 0.004771, 0.000001, 0.000000, MPI_Comm_size
State, rank27, STATE, 0.004872, 0.084087, 0.079215, 0.000000, MPI_Scatter
State, rank27, STATE, 0.084088, 0.214038, 0.129950, 0.000000, MPI_Bcast
State, rank27, STATE, 2.100446, 2.434673, 0.334227, 0.000000, MPI_Gather
State, rank27, STATE, 2.434910, 3.627300, 1.192390, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00678635, 3.62588, 3.61909, rank26
State, rank26, STATE, 0.006788, 0.006788, 0.000000, 0.000000, MPI_Comm_rank
State, rank26, STATE, 0.006789, 0.006789, 0.000001, 0.000000, MPI_Comm_size
State, rank26, STATE, 0.006874, 0.083476, 0.076602, 0.000000, MPI_Scatter
State, rank26, STATE, 0.083477, 0.201761, 0.118284, 0.000000, MPI_Bcast
State, rank26, STATE, 2.433385, 2.435987, 0.002602, 0.000000, MPI_Gather
State, rank26, STATE, 2.436324, 3.625879, 1.189555, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0139239, 3.62544, 3.61152, rank25
State, rank25, STATE, 0.013926, 0.013927, 0.000001, 0.000000, MPI_Comm_rank
State, rank25, STATE, 0.013927, 0.013929, 0.000001, 0.000000, MPI_Comm_size
State, rank25, STATE, 0.014009, 0.082858, 0.068849, 0.000000, MPI_Scatter
State, rank25, STATE, 0.082859, 0.196141, 0.113282, 0.000000, MPI_Bcast
State, rank25, STATE, 2.422598, 2.423270, 0.000672, 0.000000, MPI_Gather
State, rank25, STATE, 2.423604, 3.625439, 1.201836, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0126522, 3.62682, 3.61417, rank24
State, rank24, STATE, 0.012653, 0.012653, 0.000000, 0.000000, MPI_Comm_rank
State, rank24, STATE, 0.012653, 0.012654, 0.000001, 0.000000, MPI_Comm_size
State, rank24, STATE, 0.012701, 0.082276, 0.069575, 0.000000, MPI_Scatter
State, rank24, STATE, 0.082277, 0.213015, 0.130737, 0.000000, MPI_Bcast
State, rank24, STATE, 2.428648, 2.601764, 0.173115, 0.000000, MPI_Gather
